@English@|@Esperanto@
@American football@|@usona futbalo@
@American Indian@|@indiano@
@American Samoa@|@Usona Samoo@
@American woman@|@usonanino@
@amethyst@|@ametisto@
@amidst@|@meze de@
@Amirants@|@Amirantoj@
@amiss@|@misa@
@Amman@|@Amano@
@ammeter@|@ampermetro, amperometro@
@Ammon@|@Amono@
@ammonia@|@amoniako, amonio@
@ammunition@|@municio@
@amnesia@|@amnezio@
@amnesty@|@amnestii, amnestio@
@amoeba@|@amebo@
@Amon@|@Amono@
@among@|@inter, meze de@
@among other things@|@interalie@
@amorphous@|@amorfa@
@amortise@|@amortizi@
@amount@|@nombro, sumiĝi, sumo@
@amount to@|@sumiĝi je@
@ampere@|@ampero@
@ampersand@|@perlueto@
@amphetamine@|@amfetamino@
@amphibian@|@amfibio@
@amphitheatre@|@amfiteatro@
@ample@|@ampleksa, sufiĉega@
@amplitude@|@amplitudo@
@amputate@|@amputi@
@amputation@|@amputo@
@Amsterdam@|@Amsterdamo@
@amuck@|@amoko, furiozeco@
@Amudaryra@|@Amudarjo@
@amulet@|@amuleto@
@Amun@|@Amono@
@Amur@|@Amuro@
@amuse@|@amuzi@
@amusement@|@amuzado, amuzo@
@amusing@|@amuza, gajiga@
@an@|@ano@
@Anabaptism@|@anabaptismo@
@Anabaptist@|@rebaptisto@
@anachronism@|@anakronismo@
@anaconda@|@anakondo@
@anagram@|@anagramo@
@anal sex@|@anusa seksumado, bugro@
@analogous@|@analoga, analogia@
@analogy@|@analogeco, analogio@
@analyse@|@analizi@
@analysis@|@analizo@
@analyst@|@analizisto@
@analytic@|@analitiko@
@analytical@|@analitiko@
@analytical chemist@|@analizisto@
@anarchic@|@anarĥia, anarkia@
@anarchical@|@anarĥia, anarkia@
@anarchism@|@anarĥiismo, anarkiismo@
@anarchist@|@anarĥia, anarĥiisto, anarkia, anarkiisto@
@anarcho-syndicalism@|@anarkisindikatismo@
@anarchy@|@anarĥio, anarkio@
@anathema@|@anatemo, ekskomuniko@
@anathemetise@|@anatemi@
@anational@|@sennacia, sennaciulo@
@anationalism@|@sennaciismo@
@anationalist@|@sennaciisto@
@anationality@|@sennacieco@
@Anatolia@|@Anatolio@
@anatomical@|@anatomia@
@anatomist@|@anatomiisto@
@anatomy@|@anatomio@
@ancestor@|@praulo@
@anchor@|@ankro@
@anchorage@|@ankrejo, rodo@
@anchovy@|@anĉovo, engraŭlo@
@ancient@|@antikva, praa@
@anĉmia@|@anemio@
@anĉmic@|@anemia, sangomanka@
@anĉsthesia@|@anestezo@
@anĉsthetic@|@anestezilo@
@anĉsthetise@|@anestezi@
@anĉsthetist@|@anestezisto@
@and@|@kaj@
@and ... as well@|@plie@
@and also@|@kaj ankaŭ, plie@
@and others@|@k.a.@
@and so on@|@kaj tiel plu, k.c.@
@Andalusia@|@Andaluzio@
@Andalusian@|@andaluza, andaluzo@
@Andaman Islands@|@Andamanoj@
@Andaman Sea@|@Andamanmaro@
@Andes@|@Andoj@
@Andorra@|@Andoro@
@Andorrean@|@andora, andorano@
@Andorrean woman@|@andoranino@
@andouille@|@andujo@
@anecdote@|@anekdoto, historieto@
@anemone@|@anemono@
@anew@|@denove@
@angel@|@anĝelo@
@angelic@|@anĝela@
@angelus@|@anĝeluso@
@anger@|@kolerigi, kolero@
@angina@|@angino@
@angina pectoris@|@brustangoro@
@angle; corner@|@angulo@
@angle-iron@|@angulfero@
@angler@|@fiŝkaptanto@
@Anglican@|@anglikana, anglikano@
@anglicism@|@anglismo@
@anglophile@|@anglamika@
@Anglo-Saxon@|@anglosaksa, anglosakso@
@Angola@|@Angolo@
@Angolan@|@angola@
@Angolan (woman)@|@angolanino@
@Angolese@|@angolano@
@Angora@|@Anguro@
@Angora cat@|@angura kato@
@angry@|@kolera@
@anguilliform@|@angilforma@
@anguish@|@angoro@
@angular@|@angulhava@
@aniline@|@anilino@
@animal@|@animala, animalo, besto@
@animal breeding@|@bestobredado@
@animal husbandry@|@bestobredado@
@animal sound@|@bleko@
@animate@|@animi@
@anion@|@anjono@
@anise@|@anizo@
@anisette@|@anizlikvoro@
@Ankara@|@Anguro@
@ankh@|@anĥo@
@ankle@|@maleolo@
@annals@|@analoj@
@annex@|@aneksaĵo, aneksi@
@annexation@|@aneksado, anekso@
@annihilate@|@neniigi@
@anniversary@|@datreveno, memortago@
@annotate@|@prinoti@
@annotation@|@komentario@
@announce@|@anonci@
@announcement@|@anoncado@
@announcer@|@anoncistino, anoncisto@
@annoy@|@ĉagreni, indignigi@
@annoyance@|@ĉagreno, ĝenaĵo@
@annual@|@ĉiujara, jara@
@annual subscription@|@jarabono@
@annul@|@nuligi@
@annulment@|@kasacio@
@Annunciation@|@Anunciacio@
@anode@|@anodo@
@anoint@|@ŝmiri@
@anomaly@|@anomalio@
@anonymity@|@anonimeco, sennomeco@
@anonymous@|@anonima, sennoma@
@anonymous writer@|@anonimulo@
@another@|@alia, aliulo, plia, plua@
@another kind of@|@alispeca@
@another man@|@aliulo@
@another man's@|@alies, malpropra@
@another time@|@alifoje@
@answer@|@esti konforma al, respondi, respondi al, respondo@
@answer back@|@repliki@
@answer to@|@esti konforma al@
@answering@|@respondado@
@answering machine@|@respondaparato@
@ant@|@formiko@
@antagonist@|@adversulo@
@Antarctic@|@antarkta, antarktika, Antarktiko, Antarkto@
@Antarctic Ocean@|@Antarkta Oceano@
@Antartic Ocean@|@Antarktika Oceano@
@anteater@|@formikmanĝulo, formikurso, mirmekofago@
@antecedent@|@antaŭaĵo, antecedento@
@antechamber@|@antaŭĉambro@
@antedate@|@antaŭdati@
@antediluvian@|@antaŭdiluva@
@antelope@|@antilopo@
@antenna@|@anteno@
@anthem@|@himno@
@anthill@|@formikejo@
@anthology@|@antologio, krestomatio@
@anthracite@|@antracito, ŝtonkarbo@
@anthropologist@|@antropologo@
@anthropology@|@antropologio@
@anti@|@opoziciulo@
@anti-aircraft@|@kontraŭaviadila@
@anti-aircraft defence@|@ĉrdefendo@
@anti-aircraft guns@|@ĉrdefenda artilerio@
@antibiotic@|@antibiotiko@
@antibody@|@antikorpo@
@anticipate@|@anticipi@
@anticipation@|@anticipo@
@anti-freeze@|@kontraŭfrostaĵo@
@Antillean@|@antila, antilano@
@Antilles@|@Antiloj@
@antimilitarism@|@kontraŭmilitarismo@
@antimony@|@antimono@
@Antioch@|@Antioĥio@
@antipathy@|@malsimpatio@
@antipode@|@antipodo@
@antique@|@antikva, antikvaĵo@
@antique dealer@|@antikvaĵisto@
@antiquity@|@antikva tempo@
@antireligious@|@kontraŭreligia@
@anti-Semite@|@antisemito@
@anti-Semitic@|@antisemita@
@anti-Semitism@|@antisemitismo@
@antiseptic@|@antisepsa, antisepsilo, kontraŭsepsa@
@antisocial@|@kontraŭsocia@
@anti-state@|@kontraŭŝtata@
@anti-tank@|@kontraŭtanka@
@anti-tank gun@|@bazuko@
@antithesis@|@antitezo@
@Antwerp@|@Antverpeno@
@Anubis@|@Anubo@
@anus@|@anuso@
@anvil@|@amboso, inkuso@
@anxiety@|@anksieco@
@anxious@|@maltrankvila, maltrankviliga, sopiranta@
@anxious(2)@|@plenzorga, zorgplena@
@anxiously@|@maltrankvile, plenzorge, zorgplene@
@any@|@ajna, iu, iu ajn, kelkaj, kiu ajn@
@any kind of@|@ia ajn@
@any time@|@ĉiumomente@
@anybody@|@iu@
@anyone@|@ajnulo@
@anyway@|@iel@
@anywhere@|@ie@
@aorta@|@aorto@
@apache@|@apaĉo@
@aparatchik@|@aparatulo@
@apart@|@aparta, aparte@
@apart from@|@aparte de, krom, ne atentante@
@apartheid@|@segregacio@
@apartment@|@apartamento@
@apartment building@|@ludomo@
@apathetic@|@apatia@
@apathetic person@|@apatiulo@
@apathy@|@apatio@
@ape@|@homsimio, simio@
@ape-like@|@simieca@
@Apennines@|@Apeninoj@
@aperture@|@aperturo@
@aphasia@|@afazio@
@aphid@|@afido@
@aphorism@|@aforismo@
@aphrodisiac@|@afrodiziigaĵo@
@Aphrodite@|@Afrodito@
@aphtha@|@afto@
@apiary@|@abelejo@
@apish@|@simieca@
@aplomb@|@aplombo@
@Apocalypse@|@Apokalipso@
@apocalyptic@|@apokalipsa@
@apocryphal@|@apokrifa@
@apodictic@|@apodikta@
@apogee@|@apogeo@
@Apollo@|@Apolo@
@apologise@|@ekskuzi sin, senkulpigi sin@
@apology@|@apologio, ekskuzo, pardonpeto@
@apostasy@|@malfideliĝo@
@apostate@|@apostata, apostato@
@apostatise@|@apostatiĝi@
@apostle@|@apostolo@
@apostleship@|@apostoleco@
@apostolate@|@apostoleco@
@apostolic@|@apostola@
@apostrophe@|@apostrofo@
@apotheosis@|@apoteozo@
@apotheosise@|@apoteozi@
@appal@|@konsterni@
@apparatus@|@aparato@
@apparent@|@laŭŝajna, montrebla@
@apparently@|@evidente, ŝajne@
@appeal@|@apelacii, apelacio, apelo, petego@
@appeal to@|@alvoki, apelacii al@
@appear@|@aperi, aspekti, ŝajni@
@appear to be@|@ŝajni@
@appearance@|@apero, aspekto, ŝajno@
@appease@|@trankviligi@
@appellant@|@apelacianto@
@appellation@|@nomo, voknomo@
@appendicitis@|@apendicito@
@appendix@|@aldono, apendico@
@apperceive@|@apercepti@
@appetising@|@apetita, apetitiga@
@appetite@|@apetito@
@applaud@|@aklami, aplaŭdi@
@apple@|@pomo@
@apple fritter@|@poma fritpastaĵo@
@apple juice@|@pomsuko@
@apple turnover@|@pompasteĉo@
@apple-sauce@|@pomkaĉo, pomkompoto@
@apple-tart@|@pomtorto@
@apple-tree@|@pomarbo, pomujo@
@applicant@|@petanto, petskribinto@
@application@|@aplikado, aplikaĵo, apliko@
@application form@|@aliĝilo, petformularo, petilo@
@apply@|@apliki@
@apply to@|@turni sin al@
@appoint@|@enoficigi, nomumi@
@appointment@|@enoficigo, nomumo, rendevuo@
@appointment book@|@agendo@
@appointment to office@|@enoficigo@
@appraise@|@ekspertizi, taksi@
@appraiser@|@ekspertizisto, taksisto@
@appreciate@|@apreci, aprezi, ŝati@
@appreciation@|@apreco, aprezo@
@apprehension@|@arestado, aresto@
@apprentice@|@metilernanto@
@approach@|@alproksimiĝi, alproksimiĝo, proksimiĝo@
@approach path@|@alflugdirekto@
@approach route@|@alflugdirekto@
@approach(2)@|@alveturejo, apudiĝi, paŝi al, proksimiĝi@
@approach(3)@|@alflugi, aliri, alpaŝi, alpaŝo@
@approach; access@|@aliro@
@approachable@|@alparolebla@
@appropriate@|@alproprigi al si, konvena@
@appropriately@|@konvene@
@approval@|@aklamo, aplaŭdo, aprobo@
@approve@|@aprobi@
@approved@|@elprovita@
@approximate@|@kalkuli proksimume, proksimuma@
@approximately@|@proksimume@
@approximation@|@proksimumado@
@apricot@|@abrikoto@
@April@|@aprilo@
@apron@|@antaŭtuko@
@aptitude@|@naturdoto@
@Apulia@|@Apulio@
@aquamarine@|@akvamarino@
@aquarium@|@akvario@
@Aquarius@|@Amforo@
@aquatic-@|@akvo-@
@aqueduct@|@akvedukto@
@aquiline nose@|@agla nazo@
@Arab@|@arabo@
@arabesque@|@arabesko@
@Arabia@|@Arabio@
@Arabian@|@araba@
@Arabian Sea@|@Araba Maro@
@Arabian woman@|@arabino@
@Arabic@|@araba@
@Aral Sea@|@Arallago@
@araucaria@|@araŭkario@
@arbiter@|@arbitracianto@
@arbitrarily@|@arbitre@
@arbitrary@|@arbitra@
@arbitration@|@arbitracio@
@arbitrator@|@arbitracianto@
@arboriculture@|@arbokulturo@
@arbour@|@laŭbo, ŝafto@
@Arbroath@|@Arbroto@
@arc@|@arko@
@arcane@|@arkana@
@arch-@|@ĉef-@
@archaic@|@arĥaika, arkaika@
@archaism@|@arĥaismo, arkaismo@
@archangel@|@ĉefanĝelo@
@archbishop@|@ĉefepiskopo, metropolito@
@archbishopric@|@ĉefepiskoplando@
@archĉological@|@arkeologia@
@archĉologist@|@arĥeologo, arkeologiisto, arkeologo@
@archĉology@|@arĥeologio, arkeologio@
@archĉopteryx@|@arkeopterigo@
@Archĉozoic@|@Arĥeozoiko@
@Archĉozoic era@|@Arĥeozoiko@
@archduchy@|@arkiduklando, ĉefduklando@
@archduke@|@arkiduko, ĉefduko@
@arch-enemy@|@morta malamiko@
@Archeozoic era@|@Arĥeozoiko@
@archetype@|@arketipo@
@Archimedes@|@Arĥimedo, Arkimedo@
@archipelago@|@arĥipelago, arkipelago, insularo@
@architect@|@arĥitekto, arkitekto@
@architectonic@|@arĥitektura, arkitektura@
@architectural@|@arĥitektura, arkitektura@
@architecture@|@arĥitekturo, arkitekturo@
@architrave@|@arĥitravo, arkitravo@
@archive@|@arĥivo, arkivo, enarĥivigi, enarkivigi@
@archive(s)@|@arkivejo@
@archives@|@arĥivo@
@archivist@|@arĥivisto, arkivisto@
@Arctic@|@arkta, Arktiko, Arkto@
@Arctic Ocean@|@Arkta Oceano, Arktika Oceano@
@Ardennes@|@Ardenoj@
@ardent@|@arda@
@Ardgay@|@Ardgajo@
@are@|@aro@
@area@|@areo@
@area of the world@|@mondparto@
@arena@|@areno@
@Areopagus@|@Areopago@
@Ares@|@Areso@
@Argentina@|@Argentino@
@Argentine@|@argentina, argentinano@
@Argentinean@|@argentina@
@Argentinean woman@|@argentinanino@
@argon@|@argono@
@argue@|@disputi, rezoni@
@argument@|@argumento@
@argumentation@|@argumentado@
@Argus@|@Argo@
@aria@|@ario@
@Ariadne@|@Ariadno@
@arise@|@ekesti, estiĝi, leviĝi, naskiĝi@
@aristocracy@|@aristokrataro, aristokratio@
@aristocrat@|@aristokrato@
@aristocratic@|@aristokrata@
@Aristotle@|@Aristotelo, Aristoto@
@arithmetic@|@aritmetiko@
@ark@|@arkeo@
@arm@|@armi, brakapogilo, brako@
@armadillo@|@dazipo@
@armature@|@armaturo@
@armchair@|@apogseĝo, brakseĝo, fotelo@
@arm-chair@|@apogseĝo@
@Armenia@|@Armenio@
@Armenian@|@armena, armeno@
@Armenian woman@|@armenino@
@armful@|@plenbrako@
@Armorica@|@Armoriko@
@armour@|@kirasi, kiraso@
@armoury@|@armilejo, arsenalo@
@armpit@|@akselo@
@arm-rest@|@brakapogilo@
@arms race@|@vetarmado@
@army@|@armeo, militistaro@
@army chaplain@|@armea pastro@
@Arnhem@|@Arnhejmo@
@arnica@|@arniko@
@aroma@|@aromo@
@aromatic@|@aroma@
@around@|@ĉirkaŭ@
@arouse@|@veki@
@arrack@|@arako@
@arrange@|@aranĝi, ordigi@
@arrange flowers@|@aranĝi florojn@
@arrangement@|@aranĝaĵo, aranĝo@
@Arras@|@Atreĥto@
@arrest@|@arestado, aresti, aresto@
@arrested person@|@arestito@
@arrival@|@alportado, alveno, veno@
@arrivals@|@alportado@
@arrive@|@alveni@
@arrogance@|@malmodesteco, orgojlo@
@arrogant@|@aroga, aroganta, malmodesta, pretendema@
@arrogate@|@arogi@
@arrow@|@sago@
@arrow key@|@sagoklavo@
@arrowroot@|@aroruto@
@arsenal@|@armilejo, arsenalo@
@arsenic@|@arseniko, arsenoksido@
@art@|@arto@
@art gallery@|@artgalerio@
@art of translation@|@tradukarto@
@artefact@|@artefakto@
@Artemis@|@Artemo@
@arteriosclerosis@|@arteriosklerozo@
@artery@|@arterio@
@artesian@|@arteza@
@arthritis@|@artrozo@
@artichoke@|@artiŝoko@
@article@|@artiklo, artikolo, objekto@
@article of dress@|@vestaĵo@
@articulate@|@artiki, artikigi@
@artifice@|@elturniĝo@
@artificial@|@afekta, arta, artefarita, nenatura@
@artillery@|@artilerio@
@artilleryman@|@artileriano, artileriisto@
@artisan@|@metiisto@
@artist@|@artisto@
@artistic@|@arta, artista@
@artistic taste@|@artismo@
@arum@|@arumo@
@Aryan@|@arja, arjo@
@as@|@ĉar, kiam, kiel@
@as ... as@|@tiel ... kiel@
@as a consequence@|@sekve de tio@
@as a gift@|@donace@
@as a loan@|@prunte@
@as a whole@|@entute@
@as if@|@kvazaŭ@
@as is being said@|@laŭdire@
@as much as possible@|@laŭeble@
@as need be@|@laŭbezone@
@as one pleases@|@laŭplaĉe@
@as regards@|@rilate@
@as soon as@|@tuj kiam@
@as stupid as an ass@|@stultega@
@as the case may be@|@respektive@
@as though@|@kvazaŭ@
@as to@|@rilate@
@as well as@|@kaj ankaŭ@
@as you wish@|@laŭvole@
@asafoetida@|@asafetido@
@asbestos@|@asbesto@
@ascend@|@ascendi, leviĝi, plialtiĝi, supreniri, surgrimpi@
@Ascension Day@|@Ĉieliro@
@ascent@|@surgrimpado@
@ascertain@|@konstati@
@ascetic@|@asketa@
@ascorbic acid@|@askorbata acido@
@aseptic@|@asepsa@
@ash@|@cindro, frakseno@
@Ash Wednesday@|@Cindra Merkredo, Cindromerkredo@
@ashamed@|@honta, hontigita@
@ash-blond@|@cindroblonda@
@ash-blonde@|@cindroblonda@
@ashen@|@cindrogriza@
@ashtray@|@cindrujo@
@Asia@|@Azio@
@Asia Minor@|@Anatolio, Malgranda Azio@
@Asian@|@azia, aziano@
@Asiatic@|@azia@
@ask@|@demandi, peti@
@ask for@|@peti@
@ask forgiveness@|@pardonpeti@
@asparagus@|@asparago@
@aspect@|@aspekto@
@aspen@|@tremolo@
@aspergillum@|@aspergilo@
@asphalt@|@asfalti, asfalto, terpeko@
@asphodel@|@asfodelo@
@aspic@|@aspiko@
@aspidistra@|@aspidistro@
@aspiration@|@aspiro, strebado@
@aspire@|@aspiri@
@aspire to@|@aspiri@
@aspirin@|@aspirino@
@ass@|@azeno@
@assailant@|@atakanto, atencanto, atencinto, atenculo@
@assault@|@ataki, kurataki, kuratako, sturmi, sturmo@
@assault(2)@|@atenci, atenco@
@assaulter@|@atencanto, atencinto, atenculo@
@assemblage@|@kunveno, muntado@
@assemble@|@kunmunti, kunveni, munti@
@assembler@|@asemblero, muntisto@
@assembly@|@amasiĝo, asembleo, kunsidantaro, muntado@
@assembly hall@|@muntadohalo@
@assembly room@|@muntejo@
@assembly shop@|@muntadohalo@
@assent@|@jesi, jeso@
@assert@|@aserti@
@assessment@|@impostkvoto@
@asset@|@akiro@
@assets@|@aktivo, aktivoj, bonhavo@
@asshole@|@pugtruo@
@assiduous@|@asidua@
@assign@|@asigni, atribui, taski@
@assign a number@|@numeri@
@assigned job@|@tasko@
@assimilate@|@asimili@
@assimilation@|@asimilado, asimilo, ensorbado@
@Assisi@|@Asizo@
@assist@|@asisti, helpi@
@assistance@|@asistado@
@assistant@|@adjunkto, asistantino, asistanto@
@assistant(2)@|@helpantino, helpanto@
@associate@|@kuniĝi, unuiĝi@
@associate with@|@interrilati kun@
@association@|@asocio@
@assortment@|@sortimento@
@assumingness@|@aroganteco, malmodesteco, pretendemo@
@assure@|@certigi@
@Assyria@|@Asirio@
@Assyrian@|@asira, asiro@
@astatine@|@astateno@
@aster@|@astero@
@asterisk@|@asterisko, steleto@
@asteroid@|@asteroido@
@asthma@|@astmeco, astmo@
@asthmatic@|@astma, astmulo@
@asthmatic patient@|@astmulo@
@astonishing@|@miriga@
@astringent@|@adstringa, adstringilo, mallaksigilo@
@astrologer@|@astrologiisto, astrologo@
@astrology@|@astrologio@
@astronaut@|@astronaŭto@
@astronomer@|@astronomiisto, astronomo@
@astronomic@|@astronomia@
@astronomical@|@astronomia@
@astronomy@|@astronomio@
@Asturias@|@Asturio@
@astute@|@sagaca@
@asylum@|@azilo@
@asymmetric@|@malsimetria, nesimetria@
@asymmetrical@|@malsimetria, nesimetria@
@at@|@apud, ĉe, je, po@
@at a stretch@|@senhalte, seninterrompe@
@at all@|@ajn, tute@
@at choice@|@laŭ deziro@
@at every step@|@ĉiupaŝe@
@at first@|@en la komenco, komence@
@at first sight@|@unuavide@
@at home@|@hejme@
@at last@|@fine, finfine@
@at least@|@almenaŭ, minimume@
@at long last@|@finfine@
@at most@|@maksimume, pleje@
@at night@|@dumnokte, nokte@
@at once@|@senprokraste, tuj@
@at par@|@alpara, laŭnominala, nominalvalora@
@at pleasure@|@laŭ deziro@
@at present@|@nun@
@at some time@|@iam@
@at that time@|@tiutempe@
@at the back@|@dorse@
@at the outset@|@komence@
@at the rate of@|@po@
@at the right time@|@ĝustatempe@
@at the same time@|@samtempe@
@at the table@|@ĉetable@
@at the top of one's lungs@|@plenvoĉa@
@at this moment@|@ĉimomente@
@at will@|@laŭ deziro, laŭvole@
@atavism@|@atavismo@
@atelier@|@ateliero@
@atheism@|@ateismo@
@atheist@|@ateisto@
@Athena@|@Ateno@
@Athene; Athens@|@Ateno@
@Athenian@|@atena, atenano@
@athlete@|@atleto@
@athletic@|@atleta@
@athletics@|@atletiko, atletismo@
@-ation@|@ado@
@Atlantic@|@atlantika, Atlantiko@
@Atlantic Ocean@|@Atlantiko@
@Atlantis@|@Atlantido, Atlantio@
@atlas@|@atlaso, maparo@
@atmosphere@|@atmosfero, etoso@
@atmospheric@|@atmosfera, etosplena@
@atmospheric phenomenon@|@meteo@
@atoll@|@atolo, koralinsulo@
@atom@|@atomo@
@atom bomb@|@atombombo@
@atomic@|@atoma@
@atomic energy@|@atomenergio@
@atomic fusion@|@atomfuzio@
@atomic power station@|@atomcentralo@
@atomic theory@|@atomteorio@
@atomic war@|@atommilito@
@atomic weight@|@atompezo@
@atonal@|@atonala@
@atrocity@|@abomenindaĵo, kruelaĵo@
@atrophy@|@atrofii, atrofiiĝi, atrofio@
@at-sign@|@po-signo@
@attach@|@alfiksi, almeti, fiksi@
@attach; moor@|@alligi@
@attach‚@|@ataŝeo@
@attached@|@ligita@
@attachment@|@alfikso, sindoneco, sindonemo, sindono@
@attachment(2)@|@alligiteco, aneksaĵo@
@attack@|@ataketo, ataki, atako, ikto@
@attacker@|@atakanto, insidanto@
@attain@|@akiri, atingi@
@attempt@|@klopodi, klopodo, peni, provi, provo@
@attend@|@ĉeesti, flegi, frekventi, viziti@
@attend a congress@|@kongresi@
@attendance@|@servado@
@attendant@|@stevardo@
@attention@|@atento@
@attentive@|@atenta, atentema@
@attentively@|@atente@
@attest@|@atesti@
@attic@|@mansardo, subtegmento@
@Attic@|@atika@
@Attica@|@Atiko@
@attitude@|@sinteno, teniĝo@
@attitudinise@|@afekti@
@attitudiniser@|@afektulo@
@attorney@|@prokuristo@
@attract@|@allogi, altiri, logi@
@attraction@|@allogaĵo, allogeco, altira forto, atrakcio, logad@
@attractive@|@alloga, atrakcia, franda@
@attractiveness@|@allogeco@
@attribute@|@alkalkuli, atribui, atributo@
@aubade@|@aŭbado, matenkoncerto@
@aubergine; eggplant@|@melongeno@
@aubretia@|@aŭbrieto@
@auction@|@aŭkcio@
@auctioneer@|@aŭkciisto@
@audacious@|@aŭdaca@
@audacity@|@aŭdaco@
@audibility@|@aŭdebleco@
@audible@|@aŭdebla@
@audience@|@aŭdantaro, aŭdienco, aŭskultantaro@
@audio file@|@sondosiero@
@audio tape@|@sonbendo@
@audio-visual@|@aŭdvida@
@audit@|@kontroli@
@audition@|@aŭdicio@
@auditor@|@kasrevizoro, revizoro@
@auditorium@|@aŭlo@
@auditory@|@aŭditorio, aŭskultantaro@
@Augean stable@|@aŭgia stalo@
@Augeas@|@Aŭgio@
@augment@|@pligrandigi, pliiĝi@
@augmentative ending@|@ego@
@Augustus@|@Aŭgusto@
@aum@|@amao@
@aunt@|@onklino@
@auntie@|@onjo@
@aura@|@aŭro@
@aureole@|@aŭreolo@
@Aurignacian Period@|@Aŭrignacio@
@aurochs@|@uro@
@aurora@|@aŭroro@
@Aurora@|@Aŭroro@
@auspices@|@aŭspicio@
@austere@|@aŭstera@
@Australia@|@Aŭstralio@
@Australian@|@aŭstralia, aŭstraliano@
@Australian aboriginal@|@indiĝenaŭstraliano@
@Australian woman@|@aŭstralianino@
@Austria@|@Aŭstrio@
@Austrian@|@aŭstra, aŭstro@
@autarchy@|@aŭtarcio, aŭtarkio@
@authentic@|@aŭtenta, aŭtentika@
@authenticity@|@aŭtentikeco@
@author@|@aŭtoro, verkinto, verkisto@
@authoress@|@aŭtorino@
@authorisation@|@rajtigilo, rajtigo@
@authorise@|@rajtigi@
@authoritative@|@aŭtoritata@
@authoritative source@|@instanco@
@authority@|@aŭtoritateco, aŭtoritato, aŭtoritatulo, estreco@
@autism@|@aŭtismo@
@autistic@|@aŭtisma@
@autobiographical@|@aŭtobiografia@
@autobiography@|@aŭtobiografio@
@autocracy@|@aŭtokratio, aŭtokratismo@
@autocrat@|@aŭtokrato@
@autocratic@|@aŭtokrata@
@autodidact@|@aŭtodidakto, meminstruito, memlerninto@
@autogenous@|@aŭtogena@
@autograph@|@aŭtografo, aŭtogramo@
@automate@|@aŭtomatigi, aŭtomatizi@
@automatic@|@aŭtomata@
@automatically@|@aŭtomate@
@automation@|@aŭtomacio, aŭtomatigo@
@automaton@|@aŭtomato@
@automobile@|@aŭtomobilo@
@autonomic@|@aŭtonoma@
@autonomous@|@aŭtonoma@
@autonomy@|@aŭtonomeco, aŭtonomio@
@autopsy@|@aŭtopsio, nekropsio, sekcado@
@autumn@|@aŭtuna, aŭtuno@
@autumnal@|@aŭtuneca@
@auxiliary@|@helpa@
@avail@|@utili@
@available@|@disponebla, havebla, ricevebla@
@avalanche@|@lavango@
@avant-garde@|@avangarda, avangardo@
@avaricious@|@avara@
@avenge@|@venĝi@
@avenge oneself@|@venĝi@
@avenue@|@aleo, avenuo@
@average@|@averaĝa, averaĝo, mez, meza, meznombra, meznombro@
@averse@|@malinklina@
@aversion@|@antipatio@
@aviate@|@aviadi@
@aviation@|@aviado@
@aviator@|@aviadisto@
@avid@|@avida@
@avidity@|@avideco, avido@
@avoid@|@eviti@
@avoidable@|@evitebla@
@avoidance@|@evito@
@await@|@atendi, ĝisatendi@
@awake@|@maldorma@
@awaken@|@veki@
@award (prize@|@aljuĝi@
@award a prize@|@premii@
@aware@|@konscia@
@awareness@|@konscio@
@away@|@for@
@away we go@|@ek@
@awful@|@abomeninda, aĉa, timinda@
