@English@|@Tagalog@
@annex@|@idugtong, ikabit, kakabít, karugtong, kaugpong@
@annexation@|@dugtong, sugpong@
@annihilate@|@lipól, wasak@
@annihilation@|@pagkalipol, pagkawasak@
@anniversarily@|@taón-taón@
@anniversary@|@anibersaryo@
@annotation@|@nóta@
@announce@|@magbalità, maghayag, maglathalà@
@announcement@|@lathalà, pahiwatig@
@announcer@|@tagalathalà tagapagpahayag, tagapagbalità@
@annoy@|@bumagabag, lumigalig, makagalit, makainip, yumamot@
@annoyance@|@bagabag, bwisit, ligalig@
@annual@|@anomang aklat, nagtatagal ng sangtaón, táunan@
@annually@|@taón-taón@
@annular@|@anyongsingsing, tila singsing@
@annunciate@|@magbalità, magpahiwatig@
@annunciation@|@pagbabalita, pagpapahiwatig, pagtatanyag@
@annus@|@tumbong@
@anodyne@|@anodino@
@anoint@|@pahiran ng langis@
@anomalism@|@kawalan ng ayos@
@anomalous@|@dî pagsunod sa palatuntunan, walâ sa ayos@
@anomaly@|@paglihis sa palatuntunan@
@anon@|@agad, karakaraka, mámiyâ, pagdaka, sakâ@
@anonymous@|@dî kilala, walang lagdâ, walang pangalan@
@another@|@ibá, isa pa, kaibá@
@Another round please@|@Isa pa ulit@
@answer@|@sagót, sagutín, sumagót, tugón, tugunín, tumugón@
@answerable@|@nanánagot, yaong masasagot@
@ant@|@guyam, langgám@
@antagonism@|@pakikipag-agawan, pakikipaglaban, pakikipagtalo@
@antagonist@|@kaagawan@
@antagonize@|@makipag-agawan, makipaglaban, mákipagtalo@
@antalahin@|@to delay@
@antartic@|@antártiko, dulong timugan@
@antecede@|@ipagpauna@
@antecedence@|@pagkakauna@
@antecedent@|@náuna, una@
@antecessor@|@ang hinalinhan@
@antechamber@|@bayubo, kansel@
@antecipation@|@agap, páuna@
@antedate@|@ipágpauna sa pecha ó kaarawan@
@antedate (1)@|@maagang pagkalagay ng pecha@
@antediluvian@|@bago nagdilubyo, bago nagkagunaw@
@antediluvian (1)@|@ang nabuhay bago nagkagunáw@
@antemeridian@|@Sa umaga@
@antepaschal@|@náuna sa kurismá@
@anterior@|@náuna, sinusundan@
@anteriority@|@láon, pagkauna@
@anthem@|@awit sa simbahan@
@anthemis@|@mansanilya@
@anthill@|@bahay-langgam@
@anthology@|@ang karunungan sa bulaklak@
@Anthony's fire@|@pwego de San Anton@
@anthracite@|@matigas na uling@
@anthropoid@|@aranggutang ó malakinoy, hawig sa tao, mukhang tao@
@antic@|@kaibá, katwâ, Pangit, púsong@
@antichrist@|@antíkristo, laban kay kristo@
@anticipate@|@ipagpauna, umagap, umuna@
@antidote@|@gamot na laban sa lason, lunas@
@antipathetic@|@mabigat ang dugô@
@antipathy@|@bigat ng dugô, bigat ng loob@
@antiquarian@|@ang ukol sa unang panahon@
@antiquated@|@lipas, lumá@
@antique@|@lumà, malaon, matandâ@
@antiquity@|@kalaunan, katandaan@
@antiseptic@|@bagay na dî napapanis, bagay na dî nasisirà@
@antithesis@|@pagkakalaban@
@antler@|@sungay ng usá@
@antre@|@lunggâ, yungib@
@anvil@|@palihán@
@anxiety@|@Kabalisahan, laki ng hangad, pangamba@
@anxious@|@balisá, malaking hangad, nagpipita@
@any@|@alin man, anoman, ilán, kahi't alin, kahi't sino@
@anybody@|@sinoman@
@apace@|@karakaraka, may katulinan, pagdaka@
@apart@|@bukod, hiwaláy@
@apart from@|@matangi@
@apartment@|@silid@
@apathetic@|@hindi maramdamin, walang damdam@
@apathy@|@kapabayaan, kawalán ng damdam@
@ape@|@gumaya, manggagad, matsing, unggóy@
@aperture@|@butas, pwang, siwang@
@apex@|@Dulo, taluktok@
@apiary@|@Kabahayan ng mga pukyutan@
@apiary (1)@|@dakong álagaan sa mga pukyutan@
@apiece@|@balang isa, bawa't isa ang isa@
@apish@|@mapagpusong@
@apocalypse@|@apokalipsis@
@apologize@|@mag-adya, magsanggalang, magtanggol@
@apology@|@pag-aadya, pagsasanggalang, pagtatanggol@
@apology (1)@|@pagbibigay dahilan@
@apoplexy@|@himatay@
@apostatize@|@apostatize@
@apostle@|@apostol, apóstoles@
@apostleship@|@pagkaapostol@
@apostolic@|@nauukol sa apostol@
@apostrophe@|@apóstrope@
@apothecary@|@butikaryo@
@apothecary's shop@|@butika, tindahan ng gamot@
@apotheosis@|@pag aring Dyos sa kaninoman@
@appaling@|@pangingilabot@
@appall@|@magpangilabot, sumindák@
@apparatus@|@kasangkapan@
@apparel@|@damit, kasuutan, suot@
@apparent@|@malinaw, naaaninag@
@apparently@|@may kalinawan, may kalìwanagan@
@apparition@|@malikmata, multó, paglitaw, pagsipot, pángitain@
@appeal@|@luhog@
@appear@|@humarap, lumabas, lumitaw, sumikat, sumipot@
@appearance@|@hichura, tabas@
@appeared@|@namilaylay@
@appease@|@magpatahimik, pumayapà@
@appellant@|@ang tumututol@
@appellation@|@ngálan, pangálan@
@appellee@|@ang nasasakdal ó isinasakdal@
@append@|@magbitin, magdagdag, magdugtong, sumapì@
@appendage@|@bagay na kaugnay, karugtong@
@appendix@|@apendíce, dagdag@
@appertain@|@máukol@
@appetite@|@gana, gana sa pagkain@
@appetize@|@magkagana ng pagkain@
@applaud@|@magpaunlak, pumakpak, pumuri@
@applause@|@pagpakan, pagpupuri, paunlak@
@apple@|@mansanas@
@appliance@|@paggamit, pagsasangkap@
@applicable@|@akmâ@
@applicant@|@may kahilingan@
@apply@|@dumulog, gamitin, iakmâ, ikapit, lumuhog@
@appoint@|@maghalal, maglagay, magtakdâ@
@appointed@|@itinalaga@
@appointee@|@kawaní@
@appointment@|@pagkahalal sa katungkulan, pagkakayarî, pasiya@
@apportion@|@humatì, magbahagi, maghatì, mamahagi@
@apportionment@|@pagbabahagi, paghahatì, pamamahagi@
@apposite@|@akmâ, lapat@
@apposition@|@pagbabagay@
@appraise@|@humalaga, magmahal@
@appraisement@|@pagbibigay halaga, pagmamahal@
@appreciable@|@dapat mahalin, dapat pahalagahan@
@appreciate@|@gustó, íbig, magmahal, magpahalaga@
@appreciation@|@paghahalaga, pagmamahal@
@apprehend@|@dumakip, humuli@
@apprehender@|@tagadakip, tagahuli@
@apprehensible@|@napag-uunawà@
@apprehension@|@hinalà, kutob, pagdakip, paghuli@
@apprehensive@|@magugunihin, matatakutin@
@apprentice@|@baguhan@
@apprenticeship@|@pag-aaral, pagsasanay@
@apprise@|@magbigay-alam@
@approach@|@lapit, lumapit, paglapit@
@approachable@|@malapítlapít@
@approbation@|@pagpapatunay, pagsubok, pagsuri@
@approbatory@|@napahihintulutan, napatutunayan@
@approf@|@pagpapatotoo, pagpapatunay@
@appropriable@|@magagawang pag-aarì@
@appropriate@|@bukod-tangì, dapat, kumamkam, ukol, umarì@
@appropriation@|@pag-angkin, pag-arí@
@approvable@|@mapahihintulutan, mapapayagan@
@approval@|@katotohanan@
@approve@|@subukin, sumubok, tikman@
@approximate@|@lumapit, Malapit@
@approximately@|@umaabot@
@approximation@|@kalapitan, lapit@
@appurtenance@|@kalakip, kaukulan@
@april@|@abril@
@apron@|@tapî, tapis@
@aprreciate@|@íbig@
@apt@|@bihasá, karapatdapat sanáy, maaarì, may kaya, ukol@
@apterous@|@walang pakpak@
@aptitude@|@kabagayán, kakayahan, karapatán, kasanayán@
@aptly@|@may kakayahan, may kasanayán, may pagkaarì@
@aqua@|@tubig@
@aquatic@|@ukol sa tubig@
@aqueduct@|@agusán ó dáluyan ng tubig, alulod, sangka@
@aqueous@|@parang tubig@
@aquiline@|@ukol sa ágila ó tila ágila@
@aquire@|@magkamít, magkaroon, magtaglay, magtamó@
@aquirement@|@pagkakamit, pagkakaroon, pagtataglay@
@arab@|@árabe, taga Arabya@
@Arabia@|@Arabya@
@arabian@|@árabe, taga Arabya.@
@arabic@|@ukol sa Arabya, wikang árabe@
@arabist@|@marunong ng wikang árabe@
@arable@|@naaararo, nabubukid, nabubungkal@
@arbiter@|@hukom, Tagahatol@
@arbitrary@|@hindî tumutunton sa katwiran@
@arbor@|@balag, glorieta, kakahuyan@
@arboreous@|@ukol sa kahoy@
@arborescent@|@tila punong kahoy, warì punong kahoy@
@arbour@|@balag, glorieta, kakahuyan@
@arc@|@arkó, balangaw, hubog balantok@
@arcade@|@balabalantok, bóbeda@
@arcanum@|@dî matarok na lihim, hiwagà@
@arch@|@arkó, balantok, busog, hubog, humubog pangulo@
@arch (1)@|@gumawâ ng arkó@
@archaic@|@laón@
@archangel@|@arkanghel@
@archbishop@|@arsobispo@
@archdeacon@|@arsediano, ó pangulong diákono@
@archer@|@mámamanà, tagapanghilagpos@
@archery@|@pagpapahilagpos, pamamanà@
@archipelago@|@kapuluan@
@architect@|@arkitekto@
@archives@|@archibo, bayan ó bansa@
@archivist@|@tagapag-ingat ng archibo@
@archway@|@balantok sa bahay, bubong na balantok@
@archway (1)@|@dáanan sa ilalim ng balantok@
@ardency@|@kapusukan, ningas ng kalooban@
@ardent@|@maalab, maningas, maningas na loob, mapusok@
@arduous@|@mabigat gawin, mahirap gawin, masipag@
@Are there any showers here?@|@Mayroon kayang paliguan dito?@
@are you getting off Baba?@|@Aba- bababa kaba Baba?@
@Are you going down? I am also going down.@|@Bababa ka Ba? Bababa din ako!@
@Are you married?@|@Ikaw ba ay may asawa?@
@Are you ok?@|@OK ka lang?@
@area@|@lakí, lawak@
@Argentina@|@Arhentina@
@argil@|@lupang malagkit@
@argue@|@magmatwid, makipagmatwiranan@
@arguing@|@nagtatalo@
@argument@|@pagbabangay, pangangatwiran@
@argumentative@|@ukol sa pangangatwiran@
@arid@|@basal, tuyô@
@aridity@|@katuyûan, pagkatuyô@
@aright@|@Matwid, tamà@
@arise@|@bumangon, magmulâ, manggaling@
@aristocracy@|@kapisanan ng mga mahal na tao@
@aristocrat@|@mahal na tao@
@arithmentical@|@ukol sa aritmétika@
@arithmetic@|@aritmétika@
@arithmetician@|@marunong ng aritmétika@
@Arizona@|@Arisona@
@ark@|@kabán, malaking sasakyan@
@arm@|@almás, bisig, bísig, bráso, mag-almás, magsakbat, sakbat@
@armament@|@mga kasangkapang panglaban@
@armed@|@may sakbát, nakaalmás@
@Armenia@|@Armenya@
@armful@|@pangkó@
@armhole@|@kilikili@
@armless@|@inalisan ng almás, walang almás@
@armorer@|@manggagawà ng almás@
@armory@|@taguan ng almás@
@armpit@|@kilikili@
@arms@|@almás, mga sakbat@
@army@|@hukbó@
@arnica@|@arnika@
@aroma@|@bangó@
@aromatic@|@mabangó@
@around@|@malapit sa, sa palibot, sa paligid@
@arouse@|@gumising, magbuyó, pumukaw, sumulsol, umudyok@
@arow@|@nakaayos, nakahanay@
@arquebuse@|@astinggal@
@arraigment@|@pagpapaharap sa húkuman, pagsasakdal@
@arraign@|@tawagin sa húkuman@
@arrange@|@humusay, maglagay, umayos@
@arrangement@|@husay, pagkaayos, pagkahusay, pagkalagay@
@arrant@|@tampalasan@
@arrantly@|@may kasamaan@
@array@|@ayos sa pakikipaglaban, bihis, lumagay@
@arrear@|@kakulangan sa ipinagkautan@
@arrearage@|@kakulangan sa ipinagkautang@
@arrest@|@dumakip, humuli, pagbibilanggô, pagdakip, paghuli@
@arrival@|@pagdatal, pagdatíng, pagsapit@
@arrive@|@dating, dumatíng, sumapit@
@arrogance@|@gilas, kagilasan, kahambugan kapalaluan@
@arrogant@|@magilas, Palalò@
@arrogantly@|@may pagkamagilas, may pagkapalaló@
@arrogate@|@kumanya, umangkin@
@arrow@|@palaso, panà, tunod@
@arse@|@pwit, pwitan@
@arson@|@sunog na kinusà@
@art@|@arte, kulukutî, síming@
@art gallery@|@galeryá ng sining@
@arterial@|@ukol sa ugat@
@arteries@|@ugat@
@artery@|@ugat@
@artesian well@|@balóng bukalán ng tubig@
@artful@|@hindî katutubò, likhâ, mapaglikhâ@
@Artic@|@Nauukol sa hilagaan@
@article@|@bágay, bahagi ng kasulatan, pang-akbay, pangkat@
@articular@|@nauukol sa kasukasuan@
@articulation@|@pananalitâ ng maliwanag@
@artifice@|@kaswitikan, katusuhan, laláng@
@artificial@|@ang yarì sa katalinuan, artipisyál@
@artillery@|@kanyon@
@artisan@|@manggagawà@
@artist@|@artista@
@artless@|@musmos@
@as@|@ayon sa, gaya, gayon din, para, sapagká't, yamang@
@as (1)@|@kung paano@
@as a result@|@tulóy@
@as big as@|@kasinglaki@
@as if@|@parapara, wari@
@as in money@|@puhunan@
@as in playing cards@|@baraha@
@as offspring@|@ipinagkaroon@
@ascend@|@pumaitaas, sumampa, tumaas, umáakyát, umahon@
@ascend (1)@|@ilangláng, taas, umilanglang@
@ascendancy@|@lakas@
@ascendant@|@paahon, paitaas@
@ascension@|@pag-ahon, pag-akyat, pag-ilanglang, pag-sampá@
@ascent@|@ahunín, sampáhin@
@ascertain@|@tumantô, tumuus, tumuus; magpatunay@
@ascribe@|@ipagpalagay, italaga, magtalaga@
@ascription@|@pagkapalagay, pagkatalaga@
@ash@|@abó@
@ash (1)@|@ang kahoy ay maputi't matibay@
@ashamed@|@nápahiyâ@
@ash-colored@|@kulay abó@
@ashes@|@abó@
@ashore@|@sa kati, sa lupà, sa pangpang@
@ash-tub@|@sisidlan ng abó@
@ash-wednesday@|@myerkoles de senisa@
@ashy@|@kulay-abó@
@Asia@|@Asya@
@Asia Minor@|@Anatolya@
@Asian@|@taga Asya@
@asiatic@|@taga Asya@
@aside@|@bukod, sa tabí, sa tagiliran@
@aside from@|@bukod@
@asinine@|@mukhang humento, ugaling humento@
@ask@|@hilíng, humingi, itanóng, kahilíngan, nagtátanóng@
@ask for@|@hilíng, kahilíngan@
@ask for something@|@hingí'@
@askant@|@pahaláng@
@askew@|@pahaláng@
@aslant@|@pahaláng@
@asleep@|@natutulog, tulóg@
@aslope@|@pababâ, paliwas@
@asp@|@ahas na makamandag@
@aspargus@|@isang urí ng guguláyin@
@aspect@|@bikas, hichura, mukhâ, tabas@
@asper@|@bakôbakô, maaskád, masaklap, masukal ang loob@
@asperate@|@paaskarin, pasaklapín, pasukalin ang loob@
@asperity@|@askad, bakôbakô, saklap, sukal ng loob@
@asperse@|@mamintas, manirang-puri@
@aspersion@|@pintas@
@asphyxia@|@hindî makahingá, inís@
@asphyxiate@|@hwag pahingahin, inisín, uminis@
@aspirant@|@ang naghahangad, ang nagnanasà, kandidato@
@aspirate@|@magbadyá ng tinig h.@
@aspiration@|@nasà@
@aspire@|@maghangad, magnasà@
@asquint@|@pasulyap@
@ass@|@burriko, burro@
@assail@|@mangharang, mangloob, maniil@
@assailable@|@ang mahaharang, malolooban, masisiil@
@assailant@|@manghaharang, mangloloob, mániniil, tulisan@
@assailant (1)@|@mangdadaluhong@
@assailment@|@pangdadaluhong, panghaharang, pangloloob, paniniil@
@assassin@|@mámamátay-tao@
@assassinate@|@pumatay ng tao@
@assassination@|@pagpatay ng tao@
@assault@|@pagdaluhong, paglusob, salakayin, sumalakay@
@assault (1)@|@lumusob, mangloob@
@assay@|@pagsasanay, pagsubok, subukin, sumubok, tikim@
@assemblage@|@kapisanan, karamihan, katipunan@
@assemble@|@magpisan, magpulong@
@assembly@|@kapulungan@
@assent@|@magpahintulot, pagpayag, pagpayag, umay@
@assertion@|@alalay, handilì, paoo@
@assertor@|@tagaayon, tagapagsanggalang@
@assessment@|@amilyaramyento@
@assessor@|@tagatasa ng bwis@
@assets@|@yaman@
@asseverate@|@magpatotoo, magpatunay@
@asseveration@|@pagpapatotoo, pagpapatunay@
@assiduity@|@sipag@
@assiduous@|@masipag@
@assign@|@ipagkaloob, magtadhanà, magtakdâ, magtandâ@
@assign (1)@|@ilipat sa iba, paglilipat sa iba, tadhanà, takdâ@
@assignable@|@matatadhanaan, matatakdaan@
@assignee@|@sinalinan ng kapangyarihan@
@assigner@|@ang nagtatakdâ ó nagtatadhanâ@
@assigner (1)@|@ang nagsasalin sa iba@
@assignment@|@paglilipat sa iba, pagtatadhanà, pagtatakdâ@
@assimilable@|@kahwad, kamukhâ@
@assimilate@|@gumaya, maghwad, magwangis, pumaris, tumulad@
@assimilation@|@hwad, wangis, wangkî@
@assist@|@sumaklolo, tumúlong, umabuloy@
@assistance@|@abuloy, saklolo@
@assistant@|@katúlong@
@associate@|@kasamá, makisamá, sumamá@
@association@|@samahan@
@assort@|@magbagaybagay, umurì@
@assortment@|@Pag-urì, pagbabagay-bagay@
@assuage@|@magpahumpâ, magpalubay, magpatahimik@
@assuasive@|@nakapagpapalubay, nakapagpapatahimik@
@assume@|@akala@
@assumption@|@pag-arìng kanya, pagkanya@
@assurance@|@pag-asa, pagtiwalà@
@assure@|@asahan@
@assured@|@maaasahan@
@assuredly@|@totoong-totoo, walang pagsala@
@astern@|@sa gawíng likod, sa likod@
@asthma@|@hikà@
@asthmatic@|@híkain@
@astonish@|@magtaká, mámanghâ, manggilalás@
@astonishing@|@kagilágilalás, kamanghâmanghâ, katakátaká@
@astonishment@|@pagkámanghâ, pagtataká panggigilalás@
@astound@|@mabalisá, manggilalás@
@astraddle@|@Pahalang@
@astral@|@ukol sa talà@
@astray@|@náligaw, nálisyâ@
@astride@|@bukakâ, saklâ@
@astronomer@|@bituin at ibp@
@astronomer (1)@|@sukat at kilos ng mga talà@
@astronomy@|@karunungan tungkol sa lakí, sukat at kilos ng mga@
@asunder@|@hiwalay@
@asylum@|@álagaan, ampunan, kandilian@
@at@|@malápit, malápit@
@at all@|@hálos, tíla@
@At night@|@Sa gabi@
@at present@|@ngayón@
@at the same time@|@panabay@
@atainless@|@walang dungis@
@atheism@|@ang pananalig na walang Dyos@
@Athena@|@Atenas@
@Athens@|@Atenas@
@athirst@|@uháw@
@athwart@|@pahalang@
@atlantic@|@atlántiko, isang dagat@
@atlas@|@atlas@
@atmosphere@|@panganorin@
@atmospheric@|@ukol sa panganorin@
@atom@|@napaka munting bagay@
@atomic@|@munting muntî@
@atone@|@magpalubag loob, magpatahimik, magtakip ng sala@
@atonement@|@pagtatakip ng salâ, pangpalubag-loob@
@atonement (1)@|@pakikipagkasundô@
@atonic@|@walang lakás@
@atop@|@Sa ibabaw@
@atrocious@|@balakyot, nakapangingilabot@
@atrocity@|@katampalasanan@
@attach@|@dumakip, humawak, humuli, idugtong, tumangan@
@attachement@|@dugtong, pagkahuli, pakikipag-ibigan, pakikisapì@
@attachment (1)@|@sanglâ@
@attack@|@daluhong, lusob, paglúsob, salakayin, sumalakay, sumalakay@
@attack (1)@|@lumusob, paglaban, salakay@
@attain@|@kamit, magkamit, magtaglay, magtamó, umabot@
@attainable@|@maaabot, makakamit, matataglay, matatamó@
@attainment@|@pagkaabot, pagkakamít, pagtataglay, pagtatamó@
@attempt@|@pagsubok, pagtikím@
@attend@|@dalo, dumálaw@
@attendance@|@abay, pagkandilì, paglilingkod, paglingap@
@attendant@|@abay, alilà, lingkod@
@attention@|@kalingâ, lingap, paglingap@
@Attention ...  please@|@Paki ...  tawag pansin@
@attentive@|@taimtim@
@attenuant@|@nagpapahinà, nagpápapayát@
@attenuate@|@magpahinà, magpapayát@
@attest@|@sumaksí@
@attestation@|@pagpapatotoo, pagsaksí@
@attire@|@magbihis, pamuti@
@attitude@|@lagay, tayô, tindíg@
@attorney@|@abogado, katiwalà, pintakasi@
@attract@|@akit, akitin, gumanyak, humalina, umakit@
@attraction@|@pangganyak, panghalina, panghikayat@
@attractive@|@kahalihalina, nakagaganyak, nakahahalina@
@attractive (1)@|@nakahihikayat@
@attribute (1)@|@magpalagay@
@attribution@|@palagay@
@attributive@|@ukol sa paratang@
@aturday@|@sabado@
@auburn@|@kuyomanggí, namumulang kulay kuyomanggí@
@auction@|@almoneda, mag-almoneda@
@audacious@|@matapang, Pangahás@
@audacity@|@kapangahasan, katapangan@
@audible@|@náririnig@
@audience@|@kapulungan ng nangakikinig, pakikinig@
@audit@|@maglinaw ng isang kautangan, sumiyasat, tumuus@
@audit (1)@|@paglilinaw ng isang kautangan, pagsiyas, pagtutuos@
@audit (2)@|@pagsiyasat@
@auditor@|@tagadinig, tagalinaw ng isang kautangan, tagatuos@
@auditory@|@dakong pákinigan@
@auger@|@balibol, barrena, pangbutas@
@aught@|@anoman, balang....@
@augment@|@patong@
@augmentation@|@patong@
@augur@|@barrena, manghuhulà, mapamahiin@
@augury@|@hulà, pamahiin@
@august@|@agósto, kagalanggalang, karangaldangal, marangal@
@august (1)@|@ikawalong bwan sa isang taón@
@aunt@|@ále, ali, tiyá@
@aural@|@nauukol sa taynga@
@auricular@|@nauukol sa taynga@
@aurist@|@manggamot sa taynga@
@aurora@|@bukáng liwayway@
@auspice@|@ampon, kandilì@
@auspicious@|@mapalad, pinapalad@
@austerity@|@kabagsikán, kabangisan, kahigpitán@
@Australia@|@Australya@
@authenticate@|@ipakilala ang katotohanan, patotohanan, patunayan@
@authenticity@|@ang katotohanan, ang katunayan@
@author@|@autor, mángangathâ, may-kathâ, may-likhâ@
@authoress@|@autora, babaing mángangathâ, babaing may-kathâ@
@authoress (1)@|@babaing may-likhâ@
@authoritative@|@binigyan ng kapangyarihan, may kapangyarihan@
@authority@|@kapahintulutan@
@authorize@|@magbigay ng kapangyarihan@
@authorship@|@pagkaautor, pagkamaykathâ, pagkamaylikhâ@
@autocrat@|@apò@
@autocratic@|@nauukol sa apò, pag-aapo-apûan@
@autumn@|@otonyo, taglagas, tagulan@
@autumnal@|@nauukol sa Otonyo ó tagulan@
@auxiliar@|@katulong, kawaní@
@avail@|@makinabang, maglingkod, tumulong@
@available@|@nagagamit, napapakinabangan@
@avarice@|@kasakiman, katakawan@
@avaricious@|@matakaw, sakim@
@avast@|@hawak, pigil@
@avaunt@|@alis diyan!, lumayas ka!, Sulong!, tabì!@
@Ave Mary@|@Aba Ginoong María@
@avenge@|@magparusa, manghiganti@
@avengement@|@higantí@
@avenger@|@mapanghigantí@
@avenue@|@abenida@
@aver@|@magpatotoo, magpatunay, matotohanan, matunayan@
@average@|@gitnâ, kurong humigit kumulang@
@averse@|@salangsang, salungat@
@aversion@|@pagtatanim, sukal ng loob@
@avert@|@humiwalay, lumayô, lumihís, lumikô, umilag@
@aviari@|@dakong álagaan sa mga ibon@
@avidity@|@kasakiman, katakawan@
@avocation@|@hanap-buhay, katungkulan@
@avoid@|@ilagan, iwasan, iwásan, layó', umilag, umiwas@
@avoidable@|@maiílagan, maiiwasan@
@avoidance@|@pag-ilag, pag-iwas@
@avouch@|@magpatotoo, magpatunay@
@avouchment@|@patotoo@
@avow@|@maghayag@
@avowal@|@pagpayag, pahayag ng pagpapatotoo@
@avowedly@|@sadyâ, talaga@
@await@|@hintayín, mag-antay mag-antabay, maghintáy@
@awake@|@gising, gumising, pumukaw@
@awaken@|@pumukaw@
@awakening@|@nagigising@
@awaking@|@pagkagising@
@award@|@humatol, magpasiya@
@awarder@|@Tagahatol@
@aware@|@nakatanod@
@away@|@malayò, Sa labas@
@awe@|@gumitlá, hiyâ, pangimì, takot@
@awful-eyed@|@may matang mabalasik@
@awfulness@|@pangimì@
@awhile@|@kauntî, samantalà, sangdalî@
@awkward@|@mahirap gawin, musmos@
@awkwardness@|@kagaspangan@
@awl@|@balibol@
@awn@|@sungot@
@awning@|@kulandong, takip@
@awry@|@patabingî@
@axe@|@atsa, palakól@
@axe-tree@|@ikirán, lalikán, pinipihitan@
@axion@|@kasabihang may taglay na aral, kawikaan@
@axis@|@ehe, ikirán, pinipihitan@
@ay@|@oo, opò@
@aye@|@kaylan man, lagì mapakaylan man@
@Azerbaijan@|@Aserbayán@
@azimuth@|@limbó@
@azimuth (1)@|@el meridiano del lugar, sina@
@azure@|@asul, bughaw, gawíng kulay bughaw, mabughaw@
@azymous@|@walang lebadura@
@b (letter)@|@ba@
@baa@|@tingig ó boses ng tupa@
@babber@|@satsatero@
@babble@|@magsalitang parang musmos, salitang musmos, satsat@
@babe@|@nenè, sanggol@
@Babel@|@Babilonya@
@baboon@|@malaking unggoy, oranggutang@
@baby@|@nenè, sanggól@
@babyhood@|@pagkanenè, pagkasanggol@
@babyish@|@parang nenè, parang sanggol@
@Babylon@|@Babilonya@
@bachelor@|@binatà, matandang bagong tao, matandang binatà@
