@English@|@Estonian@
@achieve success@|@edu saavutama@
@achieve your purpose@|@eesmärgile jõudma, eesmärki saavutama@
@achievement@|@edusamm@
@achievement-oriented@|@tulemusele orienteeritud@
@achievements@|@saavutused@
@Achillea@|@raudrohi@
@Achilles@|@Ahilleus@
@achilles' heel@|@ahilleuse kand@
@Achilles heel@|@ahilleuse kand@
@Achilles' heel@|@ahilleuse kand, ainus haavatav koht@
@aching@|@valutav ; valu@
@achromatic@|@akromaatiline, värvusetu@
@achromatic color@|@akromaatiline värv (valge, hall, must)@
@achromatic colour@|@akromaatiline värv (valge, must)@
@achromatin@|@akromatiin, raku värvuseta osa@
@achromatism@|@akromatism@
@achromatopsia@|@akromatopsia, täielik värvipimedus@
@achy@|@valutav@
@acicular@|@nõelakujuline, nõeljas@
@acid@|@hape, hapu, kibe, LSD ; happeline@
@acid anhydride@|@happeline anhüdriid@
@acid bath@|@happevann@
@acid concentration@|@happelisus@
@acid precipitation@|@happevihm@
@acid rain@|@happevihm@
@acid test@|@lakmusproov, tuleproov@
@acid-fast@|@happekindel@
@acidhead@|@LSD tarvitaja@
@acid-head@|@LSD tarvitaja@
@acidic@|@happeline@
@acidify@|@hapendama, happeliseks muutma, hapustama@
@acidimeter@|@atsidimeeter@
@acidimetry@|@atsidimeetria@
@acidity@|@happesus, hapusus@
@acidlessness@|@happetus@
@acidly@|@happeliselt, salvavalt@
@acidophile@|@atsidofiil, happelembene mikroorganism@
@acidophilic@|@atsidofiilne, happelembene@
@acidophilus milk@|@atsidofiilpiim@
@acidosis@|@atsidoos, ülehappesus kehas@
@acidproof@|@happekindel@
@acidulate@|@hapendama@
@acidulated@|@hapestatud, happe-@
@acidulent@|@hapu@
@acid-wash@|@lumipesu@
@acinar@|@üks (kobarast)@
@acinic@|@üks (kobarast)@
@aciniform@|@kobarakujuline, kobarjas@
@Acipenseridae@|@tuurlased@
@ack emma@|@enne lõunat (< AM)@
@ack-ack@|@õhutõrjekahur@
@acknowledge@|@kinnitama, tunnistama@
@acknowledge defeat@|@kaotust tunnistama@
@acknowledge receipt of@|@kättesaamist kinnitama@
@acknowledgeable@|@tunnustatav@
@acknowledged@|@tunnustatud, üldtunnustatud@
@acknowledgement@|@kinnitus, tunnustus@
@acknowledgements@|@kooskõlastused, tunnustus@
@acknowledgment@|@kinnitamine, teatavaks võtmine, tunnustamine@
@aclinic line@|@magnetekvaator@
@ACLU@|@Ameerika Kodanikuvabaduse Liit@
@acme@|@tipp@
@acme of perfection@|@ülim meisterlikkus@
@acne@|@akne, vinnid@
@acned@|@vistrikuline@
@acock@|@vinnas, ülespööratud@
@acold@|@külmetav@
@acolyte@|@akolüüt, vaimuliku abiline@
@aconitine@|@akonitiin@
@Aconitum@|@käoking@
@acorea@|@pupilli puudumine silmas@
@acorn@|@tammetõru, tõru@
@acorn cup@|@tammetõru "müts"@
@acorn tube@|@elektronlamp@
@acouasm@|@< acousma@
@acousma@|@kuulmishallutsinatsioon@
@acoustic@|@akustiline@
@acoustic mine@|@akustiline miin@
@acoustic nerve@|@kuulmisnärv@
@acoustic properties of sounds@|@häälikute akustilised omadused@
@acoustic resistance@|@helitakistus@
@acoustic wave@|@helilaine@
@acousticophobia@|@kuulmiskartus, mürahirm@
@acoustics@|@akustika@
@acquaint@|@tutvustama@
@acquaint yourself with@|@end kurssi viima@
@acquaintance@|@tuttav, tutvus@
@acquaintanceship@|@tuttavolek, tutvus@
@acquainted@|@kursis, tundev@
@acquainted with@|@tundma, tuttav olema@
@acquiesce@|@leppima, soostuma, vaikides nõustuma@
@acquiesce in@|@< acquiesce to@
@acquiesce to@|@(millegagi) leppima, vaikides nõustuma@
@acquiescence@|@leppimine, vaikiv nõusolek@
@acquiescent@|@leplik@
@acquire@|@hankima, omandama, vormi võtma@
@acquired@|@omandatud (passiivselt)@
@acquired immunity@|@omandatud immuunsus@
@acquired taste@|@kulinaarne asjatundlikkus@
@acquirement@|@harjutatud oskus@
@acquiring@|@hankimine, valdusse saamine@
@acquis@|@acquis, õigustik@
@acquisition@|@omandamine, omandus@
@acquisition of knowledge@|@teadmiste omandamine@
@acquisitive@|@ahne, teadmishimuline@
@acquisitiveness@|@saamahimu@
@acquit@|@käituma, süütuks kuulutama@
@acquittal@|@õigeksmõistmine@
@acquittance@|@kohustuse), tühistav dokument (laenu@
@acquitted@|@õigeksmõistetud@
@acre@|@aaker (4046 m2)@
@acreage@|@ala@
@acre-foot@|@aakerjalg (vee ruumalaühik@
@acre-inch@|@aakertoll (vee ruumalaühik@
@acres@|@ulatuslik maavaldus@
@acrid@|@kibe, salvav, terav@
@acridity@|@ülikibedus@
@acridness@|@ülikibedus@
@acrimonious@|@kibestunud, küüniline, terav@
@acrimoniously@|@kibestunult, küüniliselt, teravalt@
@acrimony@|@kibedus (keele, kommete, suhete), teravus@
@acritical@|@kriisideta kulgev (haigus)@
@acro-@|@akro- (ülim, kõrgeim, lõplik), tipp-@
@acroamatic@|@esoteeriline, sügavalt tark@
@acroanesthesia@|@akroanesteesia, tundekadu piirsituatsioonis@
@acrobacy@|@akrobaatika@
@acrobat@|@akrobaat@
@acrobatic@|@akrobaatiline, üliliikuv@
@acrobatic flight@|@vigurlend@
@acrobatic stunt@|@akrobaaditrikk@
@acrobatics@|@akrobaatika@
@acronym@|@akronüüm@
@acrophobia@|@akrofoobia, kõrguskartus@
@acropolis@|@akropol@
@Acropolis@|@Akropol@
@across@|@risti, teisel pool, vahel, üle kogu@
@across the board@|@kõikihõlmav, võrdne@
@across the sea@|@meretagune@
@across-the-board@|@kõikihõlmav, üldine@
@acrostic@|@esitähtluuletus, sõnaruut@
@acrylate@|@akrülaat@
@acrylic@|@akrüül-@
@acrylic acid@|@akrüülhape@
@acrylic paint@|@akrüülvärv@
@acrylic painting@|@akrüülmaal@
@acrylic resin@|@akrüülvaik@
@act@|@akt, näitlema ; tegu, seadus, tegutsema, vaatus@
@act a part@|@osas esinema@
@act a role@|@rollis esinema@
@act as@|@(kellenagi) tegutsema, käituma nagu, osa täitma@
@act between@|@vahendama@
@act for@|@nimel tegutsema@
@act in the interests of@|@huvides tegutsema@
@act in the place of@|@asemel tegutsema, kohuseid täitma@
@act like@|@käituma nagu@
@act of god@|@ettenägematu õnnetusjuhtum, vääramatu jõud@
@act of God@|@ettenägematu õnnetusjuhtum, vääramatu jõud@
@act of politeness@|@viisakusväljendus@
@act on@|@alusel tegutsema@
@act on behalf of@|@nimel tegutsema@
@act on your own responsibility@|@oma vastutusel tegutsema@
@act out@|@osa esitama@
@act up@|@halvasti käituma, tuntav olema@
@act upon@|@mõjuma@
@actable@|@esitatav, näideldav@
@Actaea@|@siumari@
@acting@|@kohuseid täitev, mäng (teatris)@
@acting-out@|@hoog, impulsiivne purse@
@Actinia@|@meriroos@
@Actinidia@|@kiivi (taim)@
@actinium@|@aktiinium (Ac)@
@actino-@|@aktino-, kiirgus-@
@actinoid@|@kiirsümmeetriline@
@actinometer@|@aktinomeeter@
@actinometry@|@aktinomeetria, kiirgustugevuse mõõtmine@
@actinomycete@|@aktinomütseet, kiirikseen@
@actinomycin@|@aktinomütsiin, antibiootiline aine@
@actinomycosis@|@aktinomükoos, kiirikseentõbi@
@actinotherapy@|@aktinoteraapia, kiirgusravi@
@action@|@hagi, kohtuasi, mõju, sõjategevus, tegevus, tegu@
@action and reaction@|@tegevus ja vastasmõju@
@action movie@|@märulifilm@
@action plan@|@tegevuskava@
@action replay@|@kordus (telesaate sees)@
@action substantive@|@tegevusnimi@
@actionable@|@kohtuprotsessi võimaldav@
@activate@|@aktiveerima, käiku laskma@
@activated@|@aktiveeritud@
@activated charcoal@|@aktiivsüsi@
@activating@|@aktiveeriv, elavdav@
@activation@|@aktiveerimine, käivitamine@
@activator@|@aktivaator@
@active@|@aktiivne, tegev, toimekas ; aktiiv@
@active agent@|@toimeaine@
@active capital@|@ärikapital@
@active carbon@|@aktiivsüsi@
@active duty@|@tegevteenistus@
@active market@|@aktiivne turg@
@active rudder@|@aktiivrool@
@active sentence@|@aktiivne lause@
@active service@|@tegevteenistus@
@active substance@|@(ravimi) toimeaine@
@active surface@|@kiirguspind@
@active use@|@aktiivkasutus@
@active vocabulary@|@aktiivne sõnavara@
@actively@|@aktiivselt, elavalt@
@activeness@|@aktiivsus@
@activism@|@aktiivsus (poliitiline vms), aktivism@
@activist@|@aktivist@
@activities@|@tegevusalad, tegevused@
@activity@|@aktiivsus, tegevus@
@activity licence@|@tegevusluba@
@actor@|@näitleja, tegevuses osaleja@
@actor's lines@|@repliigid, rolli sõnaline osa@
@actress@|@näitlejanna@
@Acts@|@Apostlite tegude raamat@
@Acts of the Apostles@|@Apostlite tegude raamat@
@actual@|@aktuaalne, päevakajaline, tegelik, tõeline@
@actual cost@|@tegelik hind@
@actual cost calculation@|@järelearvestus@
@actual fact@|@tõsiasi@
@actual load@|@kasulik koormus@
@actual meaning@|@aktuaalne tähendus@
@actual news@|@tegelik uudis, uudised toimumiskohast@
@actual presence@|@isiklik kohalviibimine@
@actualise@|@aktualiseerima, tegelikuks muutma@
@actualism@|@aktualism (aktuaalne idealism)@
@actuality@|@tegelikkus, tõsielumaterjal@
@actualization@|@aktualiseerimine, reaalseks muutmine@
@actualize@|@aktualiseerima, tegelikuks muutma@
@actuary@|@(kindlustus)statistik, aktuaar, registraator@
@actuate@|@ajendama, käivitama@
@actuated@|@ajendatud@
@actuating device@|@käivitusseade@
@actuation@|@kasutamine, liikvelepanemine@
@actuator@|@algataja, käivitaja@
@acuating@|@teravatipuline@
@acuity@|@nägemisteravus, terasus, üksikasjade nägemine@
@aculeate@|@nõelaga varustatud, nõelataoline@
@acumen@|@kiire taip, läbinägelikkus@
@acuminate@|@terav ; teravnema, ühte punkti koonduma@
@acupuncture@|@akupunktuur, nõelravi@
@acute@|@akuutne@
@acute accent@|@akuudimärk (´), akuut@
@acute angle@|@teravnurk@
@acute inflammation@|@akuutne põletik@
@acute pain@|@terav valu@
@acute sense of hearing@|@terane kuulmine@
@acute sight@|@terav nägemine@
@acute triangle@|@teravnurkne kolmnurk@
@acute-angled@|@teravnurkne@
@acute-angled triangle@|@teravnurkne kolmnurk@
@acutely@|@teravalt@
@acuteness@|@teravus@
@acyclic@|@atsükliline@
@acylation@|@atsetüleerimine@
@ad@|@kuulutus, reklaam@
@AD@|@Issanda aastal@
@ad hoc@|@ad hoc, erakorraline, konkreetseks otstarbeks, siht-@
@ad hominem attack@|@ad hominem vastuväide@
@ad infinitum@|@lõpmatuseni@
@ad interim@|@ajutiselt, vahepealseks ajaks@
@ad lib@|@ad lib, ettevalmistuseta@
@ad nauseam@|@tülgastuseni@
@ad val@|@vastavalt väärtusele@
@ad valorem@|@vastavalt väärtusele@
@ad valorem tax@|@lisaväärtusmaks@
@adactylia@|@adaktüülia, sõrmede ja varvaste puudumine@
@adactylism@|@adaktüülia, sõrmede ja varvaste puudumine@
@adage@|@mõttetera@
@adagio@|@adaad˛o, adagio (aeglaselt)@
@Adam@|@Aadam@
@adamance@|@järeleandmatus@
@adam-and-eve@|@orhidee@
@Adam-and-Eve@|@Aadam ja Eeva@
@adamant@|@järeleandmatu@
@adamantean@|@< adamantine@
@adamantine@|@järeleandmatu, teemantkõva@
@adamantly@|@järeleandmatult@
@Adamawa@|@Adamaoua@
@adam's apple@|@aadamaõun, kõrisõlm@
@Adam's apple@|@aadamaõun, kõrisõlm@
@Adam's-needle@|@tääkliilia@
@adapt@|@adapteerima, kohanema, mugandama, sobima@
@adaptability@|@kohandatavus, kohanemisvõime@
@adaptable@|@kohandatav, kohanemisvõimeline@
@adaptation@|@adaptsioon, kohandus, kohanemine, kohastumus@
@adapted@|@kohandatud, mugandatud, sobitatud@
@adapted name@|@mugandnimi@
@adapted to@|@kohandatud, kohanenud@
@adapted to purpose@|@eesmärgipärane@
@adapter@|@adapter, kohandaja@
@adaption@|@kohanemine, muganemine@
@adaptor@|@adapter@
@add@|@liitma, lisama, lisandama@
@add fuel to the fire@|@õli tulle valama@
@add fuel to the flame@|@tuld õhutama@
@add gas@|@gaasi lisama@
@add on@|@juurde lisama, lõppu lisama@
@add to@|@lisama@
@add together@|@kokku liitma@
@add up@|@kokku liitma, mõtet omama@
@add up to@|@kogusummas tegema@
@addax@|@addaks (Addax)@
@added@|@koondatud, liidetud@
@added ingredient@|@lisaaine@
@addend@|@liidetav@
@addenda@|@lisad@
@addendum@|@lepingu vm), lisa (er raamatu@
@adder@|@liitja, rästik (Vipera berus)@
@addict@|@narkomaan, sõltlane@
@addicted to drink@|@joomisharjumusega@
@addictedness@|@sõltuvus@
@addictive@|@sõltuvusttekitav@
@addictive drug@|@sõltuvusttekitav aine@
@adding@|@liitmine@
@adding machine@|@mehhaaniline kalkulaator, summaator@
@Addis Ababa@|@Addis Abeba@
@addition@|@arenduspiirkond, lisa, lisamine@
@addition table@|@liitmistabel@
@addition to the price@|@hinnalisa@
@additional@|@järel-, lisa-, lisand-, uus@
@additional charge@|@hinnalisa@
@additional sail@|@lisapuri@
@additionally@|@täiendavalt@
@additive@|@lisand, lisandus-, manus ; täiend-@
@additives@|@lisaained, lisandid@
@addle egg@|@mädamuna@
@addlebrain@|@pudrupea@
@addled@|@roiskunud, segane, sogane@
@addlehead@|@pudrupea@
@addle-headed@|@peast pehme@
@addlepate@|@taipamatu@
@addlepated@|@pudrupäine@
@addle-pated@|@peast pehme@
@address@|@aadress, pöördumine ; pöörduma, suunama@
@address a warning to@|@hoiatusega pöörduma@
@address formally@|@ametlikult pöörduma, teietama@
@address registration@|@sissekirjutus@
@address to@|@adresseerima, suunama@
@address unit@|@aadressikoht@
@addressed@|@adresseeritud@
@addressee@|@adressaat, saaja, vastuvõtja@
@addressing@|@adresseerimine, kõnetlus, pöördumine@
@addressing machine@|@aadressimasin, ümbrikuprinter@
@Addressograph@|@ümbrikuprinter@
@adds@|@kuulutused, reklaamid@
@adduce@|@tõendina esitama@
@adduce evidence@|@tõendeid esitama@
@addy@|@aadress (< address)@
@-ade@|@-aad (rühm, tegevus)@
@Adelie penguin@|@adeelia (Pygoscelis Adeliae)@
@Aden@|@Aden@
@adenitis@|@adeniit, näärmepõletik@
@adeno-@|@adeno-, nääre-, näärme@
@adenocarcinoma@|@adenokartsinoom, näärevähk@
@adenoid@|@adenoid, mandlivohand@
@adenoidal@|@mandli, ninahäälne@
@adenoidectomy@|@mandlilõikus@
@adenoids@|@adenoidid@
@adenoma@|@adenoom, näärekasvaja@
@Adephaga@|@röövmardikalised@
@adept@|@meister ; võimekas, meisterlik@
@adept in@|@vilunud@
@adeptness@|@võimekus@
@adequacy@|@adekvaatsus, piisavus@
@adequate@|@adekvaatne, piisav@
@adequate supply@|@piisavad varud@
@adequate to@|@kvalifikatsiooni omav, sobiv@
@adequately@|@adekvaatselt@
@adequateness@|@adekvaatsus@
@adessive@|@alalütlev (kääne)@
@adessive case@|@adessiiv, alalütlev kääne@
@adhere@|@kinnituma, kokku kleepuma@
@adhere to@|@juurde jääma, kinni pidama@
@adhere to your principles@|@põhimõtetest kinni pidama@
@adherence@|@kinnipidamine, kleepuvus, truuksjäämine@
@adherent@|@jünger, pooldaja@
@adhesion@|@kleepumine, kokkukasvamine, külgejäämine@
@adhesive@|@kleepuv ; liimaine, liim, sideaine@
@adhesive binding@|@liimköide, liimköitmine@
@adhesive plaster@|@kleepplaaster@
@adhesive tape@|@kleeplint@
@adhesiveness@|@kleepuvus, sidumisjõud@
@adhesives@|@liimid@
@adiabatic@|@adiabaatiline, temperatuurimuutusteta toimuv@
@adiabolist@|@adiabolist, saatana olemasolu eitaja@
@adiaphora@|@adiaphora (pidmine headus)@
@adiaphorous@|@mõjutu, neutraalne@
@adieu@|@hüvasti@
@adios@|@hüvasti@
@adipic acid@|@adipiinhape@
@adipose@|@loomsest rasvast, rasv-@
@adipose tissue@|@rasvkude@
@adit@|@juurdepääs@
@adjacency@|@külgnevus@
@adjacent@|@külgnev, lähedalasuv@
@adjacent zone@|@erivöönd@
@Adjaria@|@Ad˛aaria@
@adjectival@|@omadussõnaline@
@adjectival attribute@|@omadussõnaline täiend@
@adjective@|@adjektiiv, omadussõna@
@adjective phrase@|@omadussõnafraas@
@adjoin@|@külgnema@
@adjoining@|@kõrvalolev, naaber-@
@adjourn@|@edasi lükkama, vaheajale minema@
@adjudge@|@hindama, otsust langetama@
@adjudicate@|@(midagi) lahendama, kohtunikuna tegutsema@
@adjudication@|@(kohtu)lahend, otsuse langetamine, õigusemõistmine@
@adjudicative@|@siduv, õigusemõistmise@
@adjudicator@|@kohtumõistja, kohtunik, õigusemõistja@
@adjuration@|@loitsumine@
@adjuratory@|@pühalik@
@adjure@|@anuma, südamele panema, vannutama@
@adjust@|@häälestama, kohandama@
@adjustable@|@kohandatav, reguleeritav@
@adjusted@|@kohandatud@
@adjusted to@|@kohanenud@
@adjuster@|@kindlustusinspektor, kontrollija, regulaator@
@adjustment@|@kohandamine, sobitamine, täpsustus@
@adjustor@|@kindlustusinspektor@
@adjutant@|@adjutant@
@adjuvant@|@profülaktiline, tugevdi ; abistav, tugevdusaine@
@adjuvant treatment@|@kõrvalravi@
@admeasure@|@osalust määrama@
@administer@|@haldama, manustama, sakramenti andma@
@administer a sacrament@|@sakramenti andma@
@administer an oath@|@(kelleltki) vannet võtma, vannutama@
@administer justice@|@õigust mõistma@
@administration@|@administratsioon, jagamine@
@administration of justice@|@õigusemõistmine@
@administrative@|@administratiivne, haldus-@
@administrative charge@|@halduskulu@
@administrative conference@|@haldusnõupidamine@
@administrative costs@|@halduskulud@
@administrative fee@|@arbitraa˛imaks@
@administrative law@|@haldusõigus@
@administrative order@|@halduskorraldus@
@administrative tribunal@|@halduskohus@
@administrator@|@administraator, haldur@
@admirable@|@imetlusväärne@
@admirably@|@imeteldavalt@
@admiral@|@admiral@
@admiral of the fleet@|@laevastikuadmiral@
@admiralty@|@(Br) Mereministeerium, admiraliteet, merekohus@
@Admiralty Islands@|@Admiraliteedisaared@
@admiralty law@|@mereõigus@
@admiralty mile@|@85 km), meremiil (1@
@Admiralty mile@|@85 km), meremiil (1@
@admiration@|@imetlus@
@admire@|@imetlema@
@admired@|@imetletud@
@admiredly@|@imeteldavalt@
@admirer@|@austaja, imetleja@
@admiring@|@imetlev@
@admiringly@|@imetlevalt@
@admissibility@|@kõlblikkus, lubatavus@
@admissible@|@lubatav, mööndav@
@admission@|@mööndus, omaksvõtmine, sisselaskmine, vastuvõtt@
@admission fee@|@sissepääsumaks@
@admit@|@möönma, sisse laskma, vastu võtma, üles tunnistama@
@admit an objection@|@vastuväitega nõustuma@
@admit everything@|@kõik omaks võtma, kõike lubama@
@admit exceptions@|@erandeid lubama@
@admit of@|@ruumi jätma, võimaldama@
@admit of no doubt@|@kahtlustele mitte ruumi jätma@
@admit of no option@|@valikuvõimalust mitte jätma@
@admittance@|@sisselubamine, sissepääs@
@admitted fact@|@omaksvõetud fakt@
@admittedly@|@mööndavasti@
@admitting no denial@|@keeldumist välistama@
@admitting no dispute@|@kaheldamatu, vaidlusi mitte lubav@
@admitting no doubt@|@kahtlusele mitte ruumi jätma@
@admitting that@|@mööndes, oletades et@
@admonish@|@hoiatama@
@admonition@|@(leebe) hoiatus, manitsus@
@adnex@|@manus@
@ado@|@sahmerdamine, tegevus, tüli@
@adobe@|@päikese käes kuivatatud tellis@
@adobe house@|@savitellistest maja@
@adolescency@|@noorukiiga@
@adolescent@|@alaealine, noorukieas, nooruslik ; nooruk@
@adolescent beard@|@piimahabe@
@adonis@|@adoonis, kaunis nooruk@
@Adonis@|@Adonis, Afrodite armastatu@
@adopt@|@adopteerima, lapsendama, omaks võtma@
@adopted@|@adopteeritud, omaksvõetud@
@adoption@|@adaptatsioon, lapsendamine, omaksvõtt@
@adoptive@|@adopteeritud, adoptiiv-@
@adorable@|@hurmav, jumaldatav@
@adorably@|@imeteldavalt, võluvalt@
@adoration@|@imetlus, jumaldamine@
@adore@|@jumaldama@
@adorer@|@jumaldaja@
@adoring@|@jumaldav@
@adoringly@|@jumaldavalt@
@adorn@|@ehtima, kaunistama@
@adorned@|@ehitud@
@adornments@|@ehe, ehtimine@
@adposition@|@adpositsioon, kaassõna@
@adposition of cause@|@põhjuskaassõna@
@adposition of manner@|@viisikaassõna@
@adposition of place@|@kohakaassõna@
@adposition of quantity@|@hulga-, mõõdu- ja määrakaassõna@
@adposition of state@|@seisundikaassõna@
@adposition of time@|@ajakaassõna@
@adpositional@|@kaassõna-@
@adpositional phrase@|@kaassõnafraas@
@adpress@|@litsuma, vastulitsutud@
@adrenal@|@neerupealis@
@adrenaline@|@adrenaliin@
@Adrianople@|@Adrianoopol, Edirne@
@Adriatic@|@Aadria@
@Adriatic Sea@|@Aadria meri@
@adrift@|@triiviv, viltuläinud@
@adroit@|@nutikas, osav, väle@
@adroitly@|@nutikalt@
@adroitness@|@nutikus, osavus@
@adscititious@|@välispidine@
@adsorbate@|@adsorbaat (adsorbeerunud aine)@
@adsorbent@|@adsorbent@
@adsorber@|@adsorbeeraparaat@
@adulate@|@lipitsema@
@adulation@|@ülistamine@
@adulator@|@lipitseja@
@adult@|@täisealine ; täiskasvanu@
@adulterant@|@lahjendi@
@adulterate@|@lahjendama, lisaaineid juurde segama@
@adulterated@|@lahjendatud, mittepuhas@
@adulteration@|@lahjendamine, võltsimine@
@adulterer@|@abielurikkuja@
@adulteress@|@abielurikkuja@
@adulterine@|@abieluväline, sohi-@
@adulterous@|@abielu rikkuv@
@adulterous affair@|@abieluväline suhe@
@adultery@|@abielurikkumine@
@adulthood@|@täiskasvanu olemine@
@adults@|@täiskasvanud@
@adumbrate@|@aimata laskma, visandama, üldjoontes ette kujutama@
@adumbrated by@|@varju jäetud, varjutatud (millegi poolt)@
@adumbrative@|@vihjav, üldjoontes aimatav@
@adumbratively@|@aimata laskvalt, vihjavalt@
@adust@|@päikese käes kuivanud@
@advance@|@eel- ; edenema, ette maksma@
@advance against@|@töö eest ettemaksu saama@
@advance note@|@eelteade@
@advance notice@|@eelteade, etteteatamine@
@advance payment@|@avanss, ettemakse@
@advance reservation@|@eeltellimus, ettetellimus@
@advanced@|@arenenud, edasijõudnud, hiline@
