@English@|@Gothic@
@wake up@|@us-wakjan, wv.@
@walk@|@£aírban, sv., £arbôn, wv.@
@walk along@|@skêwjan, wv.@
@wall@|@baúrgs-waddjus, sf., waddjus, sf.@
@wallow@|@walwisôn, wv.@
@wander@|@£arbôn, wv.@
@want@|@gáidw, sn., wan, sn., waninassus, sm.@
@war@|@draúhtinôn, wv.@
@warfare@|@draúihtinassus, sm.@
@warm@|@warmjan, wv.@
@warned: be ~@|@at-sai£an, sv.@
@warrior@|@ga-draúhts, sm.@
@wash@|@þwahan, sv.@
@wash oneself@|@dáupjan, wv.@
@washing@|@dáupeins, sf.@
@waste@|@fra-qisteins, sf.@
@wasteland@|@áuþida, sf.@
@watch@|@wahtwô, wf., wakan, sv., witan, wv.@
@watchful@|@war@
@water@|@a£a, sf., watô, wn.@
@wave@|@wêgs, sm.@
@way@|@gaggs, sm., stáiga, sf., wigs, sm.@
@we@|@weis, pers. pr.@
@we are@|@sijum@
@weak@|@ga-máiþs adj., un-mahteigs, adj.@
@weakness@|@siuke wf., un-mahts, sf.@
@wealth@|@gabe wf.@
@wear down@|@af-dôjan, wv.@
@weary: be ~@|@â-þrêotan@
@week@|@lasiws, adj., wikô, wf.@
@weep@|@grêtan, sv., hiufan, sv., qáinôn, wv.@
@weeping@|@grêts, sm.@
@weight@|@kaúriþa, sf.@
@well@|@brunna, wm.@
@well-behaved@|@ga-fáurs, adj.@
@went: I ~@|@iddja, pret.@
@West@|@sagqs sm.@
@wet@|@natjan, wv.@
@what@|@£as, interrog. pr.@
@what sort of@|@£e-láuþs, pr., £i-leiks, pr.@
@whatsoever@|@þata-£ah, þe pr.@
@whatsover@|@þis-£ah, pr.@
@wheat@|@£áiteis, sm.@
@when@|@£an, adv., interrog., bi-þê conj., miþ-þan-e conj., þan, rel. part., þandê, conj.@
@whence@|@£aþrô, adv.@
@whenever@|@£an, adv., interrog.@
@where@|@£ar, adv., þad-e adv., þar-e adv.@
@wherefore@|@du-£ê, adv.@
@wheresover@|@þis-£aruh, adv.@
@wheresver@|@þad-e adv.@
@wherewith@|@£ê, adv.@
@whether@|@£aþar, pr., ja-u@
@whether from@|@uz-uh, prep.@
@whether...or@|@þaþþê...jaþþê@
@which@|@iz-e, sa-e rel. pr., se rel. pr. fern.@
@which (of many)@|@£arjis, pr.@
@which of two@|@£aþar, pr.@
@while@|@miþ-þan-e conj., und þate@
@white@|@£eits, adj.@
@whiten@|@ga-£eitjan, wv.@
@whither@|@£adrê, adv., £aþ, adv., þad-e adv.@
@whithersover@|@þis-£aduh adv.@
@who@|@£arjis, pr., £as, interrog. pr., iz-e, sa-e rel. pr., se rel. pr. fern.@
@whole@|@háils, adj.@
@whole: become ~@|@ga-háilnan, wv.@
@wholly@|@allis, adv.@
@whoredom@|@hôrinassus, sm.@
@whosoever@|@£az-uh sae indef. pr., sa-£az-uh saei indef. pr., þis-£az-uh sa-e indef. pr.@
@why@|@du-£ê, adv.@
@wicked@|@un-sêls, adj.@
@wickedness@|@un-sêle wf.@
@widow@|@widuwô, wf.@
@wieghty@|@kaúrus, adj.@
@wife@|@qêns sf., qinô, wf.@
@wild@|@háiþiwisks, adj., wilþeis, adj.@
@wilderness@|@áuþida, sf.@
@will@|@wilja, wm.@
@willing@|@ga-wiljis, adj., gaírnjan, wv.@
@willing of oneself@|@silba-wiljis, adj.@
@willing: be ~@|@wiljan, v.@
@willingly@|@ga-baúrjaba, adv.@
@wilt@|@ga-þaúrsnan, wv.@
@wily@|@listeigs, adj.@
@wind@|@windan, sv., winds, sm.@
@window@|@áuga-daúrô, wn.@
@wine@|@wein, sn.@
@wine drinker@|@wein-drugkja, wm.@
@wine mixed with myrrh@|@wein miþ smyrna@
@wine-skin@|@balgs, sm.@
@winnowing fan@|@winþi-skáurô, wf.@
@winter@|@wintrus, sm.@
@wipe@|@bi-swaírban, sv.@
@wipe out@|@af-swaírban, sv.@
@wisdom@|@frôde wf., handuge wf.@
@wise@|@frôþs, adj., glau, handugs, adj., in-ahs, adj., snutrs, adj., weis@
@wise: make ~@|@us-fratwjan, wv.@
@wisely@|@frôdaba, adv.@
@wish@|@gaírnjan, wv., wiljan, v.@
@with@|@at, prep. c. acc. and dat., miþ, prep. c. dat.@
@with difficulty@|@agluba, adv.@
@with ease@|@azêts, adj.@
@with more haste@|@sniumundôs@
@with what@|@£ê, adv.@
@wither@|@ga-þaírsan, sv., ga-þaúrsnan, wv.@
@withered@|@þaúrsus, adj.@
@withered: be ~@|@þaírsan, sv.@
@within@|@inn, adv., inna, adv., innana, adv., innaþrô, adv.@
@without@|@inuh@
@without a cause@|@arwjô, adv., swarê, adv.@
@without ending@|@anda-láus, adj.@
@without honour@|@un-swêrs, adj.@
@without issue@|@akrana-láus, adj.@
@without offering@|@un-hunslags, adj.@
@without understanding@|@un-wits, adj.@
@withstand@|@and-standan, sv.@
@witness@|@weitwôde wf., weitwôdiþa, sf., weitwôds m.@
@wm. man@|@aba@
@wm. neck@|@hals-agga@
@wo!@|@wá interj.@
@wolf@|@wulfs, sm.@
@woman@|@qêns sf., qinô, wf.@
@woman being with child.@|@qiþu-haftô@
@womb@|@kilþe wf., qiþus, sm., wamba, sf.@
@wonder@|@faúra-tan sn., faúrhte wf., silda-leikjan, wv.@
@wonderful@|@silda-leiks, adj.@
@wood@|@triu, sn.@
@wooden@|@triweins, adj.@
@wool@|@wulla, sf.@
@word@|@háuseins, sf., waúrd, sn.@
@work@|@arbáidjan, wv., arbáiþs, sf., tau sn., waúrkjan, wv., waúrstw, sn.@
@worker@|@waúrstwja, wm.@
@world@|@áiws, sm., faír£us, sm., mana-sêþs, sf., midjun-gards, sm.@
@world: of this ~@|@aírþeins, adj.@
@worm@|@maþa, wm.@
@worse@|@waírs, adv., waírsiza, adj.@
@worship@|@blôtan, sv., blôtinassus, sm., in-weitan, sv.@
@worshipper of God@|@guþ-blôstreis, sm.@
@worth@|@waírþida, sf.@
@worthy@|@waírþs, adj., wulþrs, adj.@
@wound@|@wundan briggan, wundufn sf.@
@wounded@|@wunds, adj.@
@wrap round@|@bi-windan, sv.@
@wrath@|@hatis, sn., môþs sm.@
@wrathful@|@môdags, adj.@
@wreath@|@wáips, sm.@
@write@|@ga-mêljan, wv., mêljan wv.@
@write over@|@ufar-mêljan, wv.@
@writing@|@þata gamêlidô@
@wrong@|@un-wâhs, adj.@
@wrong-doing@|@fra-waúrhts, sf.@
@yard@|@garda, wm.@
@ye@|@jus, pers. pr.@
@ye two!@|@hirjats@
@yea@|@ja@
@year@|@at-aþn sn., jêr, sn.@
@yes@|@ja@
@yesterday@|@gesteron, giestran-dæge@
@yet@|@aþþan, conj., naúh, adv., swê-þáuh, adv.@
@yoke@|@juk, sn.@
@yonder@|@jáinar, adv.@
@young@|@juggs, adj.@
@young goat@|@gáitein@
@young maiden@|@mawilô, wf.@
@young man@|@jugga-láuþs, sm.@
@younger@|@jûhiza, adj.@
@your@|@izwar@
@youth@|@jugga-láuþs, sm., junda, sf.@
@zeal@|@aga-leiz@
@zealously@|@us-dáudô, adv.@

