@English@|@Vietnamese@
@symbol@|@hiŒu@
@symmetrical@|@ÇÓi xÙng@
@symmetry@|@ÇÓi xÙng@
@symphatize@|@thÜÖng håi@
@symphatizer@|@cäm tình viên@
@synonym@|@ÇÒng nghïa@
@table@|@bàn@
@table of content@|@møc løc@
@table server (boy)@|@ti‹u bäo@
@tablet@|@viên@
@tailor's shop@|@tiŒm may@
@take (v)@|@lÃy@
@take advantage of@|@l®i døng@
@take away@|@cu‡m@
@take bribes@|@chÃm mút@
@take exam@|@d¿ thi@
@take oath@|@tuyên thŒ@
@take on the challenge@|@thº lºa@
@take part in@|@d¿ phÀn@
@take something for compensation@|@si‰t@
@take up residence@|@lÜu trú@
@taking one's time@|@thûng th£ng@
@talented@|@tài, tài ba@
@talented person@|@nhân tài@
@talk back@|@cãi, ÇÓi Çáp@
@talk highly of@|@ÇŠ cao@
@talk in sleep@|@m§@
@talk into@|@dø d‡@
@talkative@|@ba hoa@
@tall@|@cao ráo@
@tamarin@|@me@
@tank@|@xe tæng@
@Taoism@|@Çåo Lão@
@tape (Fr=bande)@|@bæng@
@target@|@Çích@
@target (v)@|@nh¡m vào@
@tariff@|@thu‰ nhÆp cäng (cänh)@
@taste (v)@|@nêm@
@tattered@|@tä tÖi@
@tax@|@thu‰@
@tax agency@|@quan thu‰@
@tax rate@|@thu‰ xuÃt@
@tax service@|@thu‰ vø@
@tea@|@trà@
@tea harvested by beheading horses that ate tea@|@träm mã trà@
@teach@|@dÆy@
@teach (v)@|@dåy@
@teacher@|@giáo viên@
@tear (as in crying)@|@nÜ§c m¡t@
@tear up@|@xé@
@tears@|@lŒ@
@tease@|@châm ch†c@
@technique@|@kÏ thuÆt@
@technology@|@kÏ thuÆt@
@teeth@|@ræng@
@telegram@|@ÇiŒn tín@
@telephone@|@ÇiŒn thoåi@
@telescope@|@viÍn v†ng kính@
@television broadcasting@|@phát hình@
@tell@|@bäo@
@tell what to do@|@bäo, bäo làm@
@temperature@|@nhiŒt Ç¶@
@temple@|@Çình, læng mi‰u@
@temple keeper@|@TØ (ông)@
@temporary@|@tåm, tåm th©i@
@ten@|@mÜ©i@
@tendon@|@gân@
@terminate@|@chÃm dÙt@
@terrain@|@ÇÎa th‰@
@test@|@thi, thº@
@testament@|@b¢ng chÙng@
@testimony@|@l©i khai@
@Thailand@|@Thái@
@thank@|@tå Ön@
@that (demonstrative)@|@Çó@
@That's it!  That's all!@|@ChÌ có th‰!@
@that's why@|@hèn chi, thäo nào@
@the four corruptions-drinking@|@tÙ Ç° tÜ©ng@
@the hell with it@|@m¥c kŒ@
@the more@|@càng, càng@
@the reason of ...@|@sª dï@
@theft@|@æn tr¶m@
@then@|@Çoån@
@theory@|@lš thuy‰t@
@thermostat@|@nhiŒt k‰@
@they@|@chúng@
@thick@|@dÀy@
@thieft@|@tr¶m@
@thing@|@vÆt@
@things@|@ÇÒ@
@think@|@nghï@
@think back@|@nh§ vŠ@
@Third time must succeed.  Third time is a charm.@|@bÃt quá tam@
@thorough@|@kÏ lÜ«ng@
@thought (past tense)@|@tÜªng@
@thought (v)@|@ng«@
@thoughtful@|@chín ch¡n@
@thousands@|@vån@
@thread@|@chÌ@
@threaten@|@hæm@
@three@|@ba@
@three obediences and four virtues (for women)@|@tam tòng tÙ ÇÙc@
@throw (a knife@|@phóng@
@throw (v)@|@liŒng, ném, quæng@
@throw away@|@vÃt@
@ticket@|@vé@
@tickle@|@th†c léc@
@tickle (Northern)@|@cù@
@tickle (v@|@cù@
@tie up (v)@|@bó@
@tiger@|@c†p, h°@
@tighten belt@|@th¡t lÜng bu¶c bøng@
@tilt@|@nghiêng@
@time@|@th©i gi©, thì gi©@
@time flies@|@thÃm thoát@
@time has changed@|@vÆt Ç°i sao d©i@
@tin@|@thi‰c@
@tired@|@mŒt@
@to a great extent@|@kinh khûng@
@to be enthroned@|@lên ngôi@
@to make concession@|@nhân nhÜ®ng@
@to pay@|@trä@
@to yield@|@nhân nhÜ®ng@
@tòa án@|@court@
@tobacco-addict@|@nghiŒn thuÓc@
@toe@|@ngón chân@
@toe nail@|@móng chân@
@together@|@chung@
@toil@|@viŒc làm trÀn ai@
@toilet@|@cÀu tiêu@
@toilet trainer@|@bô@
@tolerate@|@châm chÜ§c@
@tolerate bad behavior@|@dung túng@
@tomato@|@cà chua@
@tomb@|@mä, mÒ@
@tomorrow@|@mai@
@ton@|@tÃn@
@too bad@|@ráng chÎu@
@toothpick@|@tæm@
@torn@|@thûng@
@torpedo@|@thûy lôi@
@torture@|@hành hå, tra tÃn@
@total@|@t°ng c¶ng@
@touch@|@mó@
@touched by@|@Ç¶ng lòng@
@touchy@|@giàu tình cäm@
@towel@|@khæn@
@tower@|@Çài, tháp@
@town@|@thành thÎ, thÎ trÃn, tÌnh@
@town (remote@|@tÌnh lÈ@
@trace (n)@|@dÃu v‰t@
@trace a picture@|@ÇÒ@
@traffic law@|@luÆt lŒ lÜu thông@
@tragedy@|@thäm cänh, thäm kÎch@
@tragic situation@|@thäm cänh@
@train@|@tråm@
@train station@|@tråm xe lºa@
@trait (same as tính)@|@tánh@
@tranquil@|@tÎnh@
@transfer to new post@|@biŒt phái@
@transform@|@bi‰n dång, bi‰n th‹@
@transform body@|@hóa ki‰p@
@transform into@|@bi‰n thành@
@transit@|@chuyên chª@
@translate@|@dÎch, thông dÎch, thông ngôn@
@translation@|@dÎch thuÆt@
@translator@|@dÎch giä, thông dÎch viên@
@transport@|@chuyên chª, vÆn täi@
@transport (prisoners)@|@áp täi@
@transport (v)@|@chª@
@transportation@|@vÆn täi@
@trap (v@|@bÅy@
@travel far@|@viÍn du@
@travel overseas@|@xuÃt ngoåi@
@treacherous@|@lÜÖn lËo@
@treasure (v)@|@quš@
@treat@|@ÇÓi xº@
@treat someone very well@|@Üu Çãi@
@treatment@|@ÇÓi xº@
@tree@|@cây@
@tree stump@|@gÓc cây@
@trend@|@khuynh hÜ§ng@
@trial@|@phiên xº, thº, vø xº@
@trick@|@mËo, thû Çoån, trò@
@trivial@|@tåp nhåp@
@troop@|@Ç¶i@
@troublesome@|@l¡m chuyŒn@
@truck@|@vÆn täi (xe)@
@true@|@th¿c, thÆt@
@true nature@|@th¿c chÃt@
@trust@|@tin cÆy@
@try@|@thº@
@try (law)@|@phân xº@
@try on@|@thº@
@try to persuade@|@khuy‰n dø@
@tube@|@Óng@
@tuberculosis@|@lao ph°i@
@Turkey@|@Th° Nhï Kÿ@
@turn a nut or bolt@|@v¥n@
@turn into@|@hóa@
@turn oneself in to authority@|@ÇÀu thú@
@turn up side down@|@Çäo ngÜ®c@
@turtle@|@ba ba@
@tusk@|@ngà@
@TV station@|@Çài phát hình, Çài truyŠn hình@
@twins@|@sinh Çôi@
@two@|@Çôi@
@type@|@giÓng@
@typewriter@|@máy Çánh ch»@
@typical@|@Çi‹n hình@
@umbrella (Southern)@|@dù@
@un-@|@bÃt ..., vô@
@unable to get rich@|@bÃt phú@
@unachieved@|@bÃt thành@
@unalienable@|@bÃt khä phân@
@unbind@|@cªi@
@unclear@|@m©@
@unclothed@|@lÒ l¶@
@unconscionable@|@vô lÜÖng tâm@
@unconscious@|@bÃt tÌnh@
@undecided@|@nhÆp nh¢ng@
@underdeveloped@|@chÆm ti‰n@
@understand@|@hi‹u@
@undesirable element@|@thành phÀn bÃt häo@
@undo@|@hóa giäi@
@undress@|@cªi quÀn áo@
@uneasy@|@nóng lòng@
@uneducated@|@vô giáo døc, vô h†c@
@unemployed@|@thÃt nghiŒp@
@uneven@|@méo@
@unfair@|@bÃt công, bÃt công@
@unfeasible@|@bÃt khä thi@
@unfortunate@|@bÃt hånh, vô phúc@
@unfulfilled@|@dang dª@
@ungrateful child (to parents)@|@bÃt hi‰u@
@uniform@|@ÇÒng nhÃt@
@uniformed@|@m¥c ÇÒng phøc@
@uniformity@|@tính ÇÒng nhÃt@
@uninformed@|@dÓt, không bi‰t@
@uninfringeable@|@bÃt khä xâm phåm@
@unintended@|@không có chû š, sÖ š@
@uninterrupted@|@liŠn låc@
@uninvitedly@|@t¿ tiŒn@
@unique@|@Ç¶c nhÃt@
@unison@|@ÇÒng thanh@
@unit@|@ÇÖn vÎ@
@unite@|@Çoàn k‰t@
@United Nations Organization@|@Liên HiŒp QuÓc@
@unity@|@h®p quÀn@
@unknowing@|@vô tình@
@unload@|@cho thoát ra, g« xuÓng, lÃy ra, xä ra@
@unmoveable@|@bÃt di bÃt dÎch@
@unplug sewer@|@thông cÓng@
@unreasonable@|@vô lš@
@unsalty@|@nhåt@
@unscheduled@|@không ÇÎnh trÜ§c, không hËn trÜ§c@
@unstable@|@chòng chành@
@unsteady@|@läo Çäo@
@unsung heroes@|@anh hùng vô danh@
@untalented@|@bÃt tài@
@untie@|@cªi@
@untimely death@|@ch‰t bÃt Ç¡c kÿ tº@
@unusual@|@khác thÜ©ng, lå, lå lùng@
@upbeat@|@låc quan@
@update@|@cÆp nhÆt hóa@
@upper class@|@thÜ®ng lÜu@
@upset@|@h©n@
@upset the order@|@Çäo ngÜ®c@
@up-to-date@|@ÇÜ®c cÆp nhÆt hóa, hiŒn tåi@
@urge strongly@|@c° Ç¶ng@
@urgency@|@khÄn trÜÖng@
@urgent@|@khÄn, khÄn trÜÖng@
@urinate@|@Çái, ti‹u, ti‹u tiŒn@
@urine@|@nÜ§c Çái@
@use@|@dùng@
@use violence@|@båo Ç¶ng@
@useful@|@h»u døng, h»u ích@
@useless@|@vô døng, vô ích@
@useless and harmless@|@vô thÜªng vô phåt@
@usual@|@thông thÜ©ng@
@usually@|@thÜ©ng thì@
@utilize@|@dùng@
@utopia@|@không tÜªng@
@vacation@|@Ç°i gió@
@vacuum@|@chân không@
@vagina@|@âm h¶, cºa mình@
@vaguely remember@|@mang máng@
@vain@|@lÓi@
@valedictorian@|@thû khoa@
@valiant@|@hào khí, khí khái@
@value@|@giá trÎ@
@value (n)@|@Çánh giá@
@vampire@|@yêu tinh@
@variable@|@bÃt ÇÎnh@
@variable cost@|@phí t°n khä bi‰n@
@vast@|@bao la@
@vegetarian food@|@chay@
@vehicle@|@xe, xe c¶@
@vehicle (slang)@|@x‰@
@vein@|@gân máu@
@venom@|@Ç¶c@
@venomous@|@Ç¶c@
@verb@|@Ç¶ng tØ@
@verbal@|@b¢ng l©i@
@verbal agreement@|@khÄu Ü§c@
@verdict@|@án quy‰t@
@verifiable@|@ki‹m Çi‹m ÇÜ®c, xét ÇÜ®c@
@verify@|@ki‹m Çi‹m@
@very rich@|@giàu xø@
@very white@|@tr¡ng bóc@
@vessel (naval)@|@thûy Çïnh@
@vicious@|@d», d» d¢n@
@Viet race to differentiate from tribal montagnars@|@Kinh@
@Vietnam@|@ViŒt Nam@
@Vietnamese@|@ti‰ng ViŒt@
@Vietnamese communist (slang)@|@VËm@
@village chief@|@lš trÜªng@
@vintage@|@mùa rÜ®u@
@violate@|@phåm@
@violence@|@båo Ç¶ng@
@VIP (very important person)@|@y‰u nhân@
@visit@|@thæm@
@visit a site@|@tham quan@
@visit and bring food to a person in jail@|@thæm nuôi@
@visit by a governmental official@|@kinh lš@
@voice@|@gi†ng@
@volume@|@dung tích@
@vomit@|@mºa, ói@
@vomit (v)@|@mºa, ói@
@voter@|@cº tri@
@vow@|@nguyŠn, thŠ@
@vow (v)@|@nguyŒn@
@vowel@|@nguyên âm@
@vulgar@|@tøc tïu@
@vulnerability@|@nhÜ®c Çi‹m@
@waist@|@hông@
@wait (v)@|@ch©@
@wait for@|@ngóng@
@waiter@|@bÒi@
@waiting room@|@phòng Ç®i@
@wake up@|@dÆy@
@walk (v- lóng)@|@cuÓc b¶ (slang)@
@walk (v)@|@Çi b¶@
@walkway@|@hành lang@
@wall@|@tÜ©ng@
@wander@|@lang thang@
@wandering soul@|@cô hÒn@
@wandering thought@|@bâng khuâng@
@wannabe@|@Ü§c thành (nhÜng chÜa Ç‰n mÙc)@
@want (v)@|@muÓn@
@war@|@lºa Çån@
@warn@|@cänh cáo@
@warrior@|@chi‰n sï@
@wash (v)@|@rºa@
@waste@|@phí, phí phåm@
@waste money@|@tiêu phí@
@wasteful@|@phí phåm@
@watch@|@ÇÒng hÒ@
@water@|@nÜ§c@
@water buffalo calf@|@nghé@
@waterfall@|@thác nÜ§c@
@wave@|@sóng@
@way@|@cách, ÇÜ©ng, lŠ lÓi@
@way of speech@|@æn nói@
@weak@|@y‰u, y‰u ÇuÓi@
@weapons@|@khí gi§i@
@wear (v)@|@m¥c@
@wear and tear@|@hao mòn@
@wear fancy clothes@|@diŒn@
@wedding@|@Çám cÜ§i@
@weigh (v)@|@cân@
@weight@|@tr†ng lÜ®ng@
@weight (sport)@|@tå@
@weird@|@kÿ cøc@
@weld (v)@|@hàn@
@well@|@gi‰ng@
@well trained@|@thuÀn thøc@
@well-raised@|@gia giáo@
@wet nurse@|@vú em@
@whale@|@cá voi@
@What a waste!@|@Hoài cûa!@
@what?@|@gì@
@what's left?@|@còn gì?@
@whimp@|@ÜÖn hèn@
@whine@|@kêu ca@
@whip@|@quÃt@
@whisper@|@thû thÌ@
@whisper (v)@|@thì thào, thû thÌ; thì thÀm@
@white@|@tr¡ng@
@white like a sheet@|@tr¡ng bŒch@
@white-collar@|@lao tâm@
@whore@|@Çï@
@whore house@|@Ç¶ng Çï@
@why?@|@tåi sao?@
@wife@|@v®@
@wife of father's younger brother@|@thím@
@wife of mother's brother@|@m®@
@wife or honey (as called by husband or lover)@|@em@
@wiggle@|@c¿a quÆy@
@wild (ajd)@|@hoang@
@wild (n)@|@hoang dã@
@wild animals@|@dã thú@
@wildlife@|@dã thú@
@wildnerness@|@sÖn dã@
@win (v)@|@th¡ng@
@win a battle@|@th¡ng trÆn@
@wind@|@gió@
@winding@|@ngo¢n nghèo@
@window@|@cºa s°, quÀy@
@wink (v)@|@nháy m¡t@
@wire a telegram@|@Çánh ÇiŒn@
@wisdom tooth@|@ræng cÃm@
@wish@|@š nguyŒn@
@wish for@|@cÀu@
@withdraw (from a gathering)@|@ki‰u@
@withered@|@úa@
@witness@|@nhân chÙng@
@wizard@|@phù thûy@
@wobbly@|@cà kh°@
@wolf@|@chó sói@
@wonder (v)@|@th¡c m¡c@
@wondering@|@phân vân@
@wood@|@g‡@
@word@|@ch»@
@word by word@|@nguyên væn@
@words@|@tØ ng»@
@work@|@làm æn, làm viŒc@
@worker@|@công nhân, th®@
@working hard@|@quÀn quÆt@
@workplace@|@sª@
@workshop@|@l§p th¿c hành, thäo luÆn chuyên môn@
@worried@|@rÀu rï@
@worry (v)@|@lo@
@worship@|@th©@
@worship place@|@læng mi‰u@
@worst outcome in card game bài cào@|@bù@
@worst solution@|@hå sách@
@worthless (person)@|@vô tài bÃt tÜ§ng@
@would have been@|@nhë ra@
@wound@|@thÜÖng tích, v‰t thÜÖng@
@wrench@|@mÕ l‰t@
@wrestle@|@Çánh vÆt, vÆt l¶n@
@wrinkled@|@nhÀu@
@wristwatch@|@Ç°ng (lóng)@
@write@|@ÇŠ@
@write (v)@|@vi‰t@
@written@|@ÇÜ®c vi‰t ra, thành væn, thành væn@
@wrong@|@bÆy, l¶n, lÀm, trÆt@
@wrong (v)@|@làm bÆy@
@yawn@|@ngáp@
@yellow@|@vàng@
@Yes (Informal)@|@¯@
@Yes (polite acknowledgement)@|@då@
@Yes (polite)@|@Vâng@
@yes man@|@ba phäi@
@yoga@|@thiŠn h†c@
@you and me (French)@|@toa moa@
@you guys@|@mÃy ngÜ©i@
@You guys@|@các vÎ@
@you people@|@các vÎ@
@young@|@trÈ@
@young boy@|@ti‹u ÇÒng@
@young farm boy@|@møc ÇÒng@
@youthful@|@trÈ trung@
@zone@|@khu v¿c@
@zoo@|@sª thú, thäo cÀm viên@

